Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
10603.0,10603.0,10466.0,10534.0,77768,VND,69.0,137.0,10583.285714285714,10593.142857142857,10619.42857142857
10466.0,10672.0,10397.0,10672.0,124959,VND,-206.0,275.0,10583.285714285714,10593.142857142857,10616.142857142857
10672.0,11016.0,10672.0,10810.0,324026,VND,-138.0,344.0,10612.857142857143,10607.92857142857,10619.42857142857
10810.0,10879.0,10741.0,10879.0,20706,VND,-69.0,138.0,10652.285714285714,10632.57142857143,10626.0
10879.0,11223.0,10741.0,10948.0,965176,VND,-69.0,482.0,10711.42857142857,10657.214285714286,10645.714285714286
11016.0,11292.0,10948.0,11085.0,512537,VND,-69.0,344.0,10790.142857142857,10691.642857142857,10668.666666666666
11085.0,11498.0,11085.0,11361.0,578872,VND,-276.0,413.0,10898.42857142857,10750.714285714286,10701.47619047619
11361.0,11361.0,11085.0,11154.0,418034,VND,207.0,276.0,10987.0,10785.142857142857,10724.42857142857
11085.0,11154.0,10948.0,10948.0,340867,VND,137.0,206.0,11026.42857142857,10804.857142857143,10737.57142857143
11016.0,11085.0,10810.0,10948.0,520705,VND,68.0,275.0,11046.142857142857,10829.5,10754.0
11085.0,11154.0,11016.0,11085.0,320486,VND,0.0,138.0,11075.57142857143,10863.92857142857,10780.238095238095
11016.0,11085.0,10879.0,11016.0,104602,VND,0.0,206.0,11085.285714285714,10898.357142857143,10799.904761904761
11016.0,11085.0,10879.0,10948.0,285774,VND,68.0,206.0,11065.714285714286,10927.92857142857,10816.333333333334
10948.0,11223.0,10879.0,11223.0,418793,VND,-275.0,344.0,11046.0,10972.214285714286,10849.142857142857
11154.0,11843.0,11154.0,11774.0,2006368,VND,-620.0,689.0,11134.57142857143,11060.785714285714,10901.619047619048
11774.0,11912.0,11774.0,11843.0,427199,VND,-69.0,138.0,11262.42857142857,11144.42857142857,10957.380952380952
11912.0,11980.0,11361.0,11843.0,439228,VND,69.0,619.0,11390.285714285714,11218.214285714286,11016.42857142857
11774.0,12531.0,11636.0,12393.0,1335661,VND,-619.0,895.0,11577.142857142857,11326.357142857143,11101.666666666666
12393.0,12462.0,12187.0,12187.0,596966,VND,206.0,275.0,11744.42857142857,11414.857142857143,11180.380952380952
12118.0,12118.0,11636.0,11843.0,665497,VND,275.0,482.0,11872.285714285714,11469.0,11242.714285714286
11774.0,11912.0,11567.0,11567.0,369226,VND,207.0,345.0,11921.42857142857,11483.714285714286,11288.619047619048
11567.0,11636.0,10948.0,10948.0,1151974,VND,619.0,688.0,11803.42857142857,11469.0,11308.333333333334
10879.0,11085.0,10741.0,11085.0,376401,VND,-206.0,344.0,11695.142857142857,11478.785714285714,11328.0
11085.0,11292.0,11085.0,11085.0,103612,VND,0.0,207.0,11586.857142857143,11488.57142857143,11341.095238095239
11085.0,11292.0,10259.0,11292.0,341311,VND,-207.0,1033.0,11429.57142857143,11503.357142857143,11360.761904761905
11292.0,11430.0,11085.0,11085.0,101543,VND,207.0,345.0,11272.142857142857,11508.285714285714,11367.285714285714
11016.0,11292.0,11016.0,11154.0,147052,VND,-138.0,276.0,11173.714285714286,11523.0,11370.57142857143
11154.0,11361.0,11154.0,11292.0,126507,VND,-138.0,207.0,11134.42857142857,11527.92857142857,11367.285714285714
11292.0,11361.0,11223.0,11292.0,122328,VND,0.0,138.0,11183.57142857143,11493.5,11373.857142857143
11361.0,11774.0,11361.0,11567.0,904975,VND,-206.0,413.0,11252.42857142857,11473.785714285714,11403.333333333334
11636.0,11912.0,11636.0,11774.0,196022,VND,-138.0,276.0,11350.857142857143,11468.857142857143,11442.666666666666
11843.0,12187.0,11774.0,11912.0,935476,VND,-69.0,413.0,11439.42857142857,11434.5,11482.047619047618
11912.0,11980.0,11705.0,11912.0,156303,VND,0.0,275.0,11557.57142857143,11414.857142857143,11524.714285714286
11980.0,11980.0,11705.0,11705.0,89578,VND,275.0,275.0,11636.285714285714,11405.0,11560.761904761905
11843.0,11843.0,11636.0,11705.0,140316,VND,138.0,207.0,11695.285714285714,11414.857142857143,11583.714285714286
11843.0,11843.0,11636.0,11636.0,840370,VND,207.0,207.0,11744.42857142857,11464.0,11577.142857142857
11705.0,11705.0,11567.0,11636.0,573889,VND,69.0,138.0,11754.285714285714,11503.357142857143,11567.285714285714
11636.0,11705.0,11567.0,11567.0,221460,VND,69.0,138.0,11724.714285714286,11537.785714285714,11554.142857142857
11567.0,11774.0,11498.0,11705.0,448165,VND,-138.0,276.0,11695.142857142857,11567.285714285714,11521.380952380952
11705.0,11774.0,11567.0,11636.0,222391,VND,69.0,207.0,11655.714285714286,11606.642857142857,11495.142857142857
11636.0,11705.0,11567.0,11705.0,134555,VND,-69.0,138.0,11655.714285714286,11646.0,11488.57142857143
11705.0,11912.0,11705.0,11774.0,781699,VND,-69.0,207.0,11665.57142857143,11680.42857142857,11498.42857142857
11636.0,11774.0,11430.0,11705.0,66664,VND,-69.0,344.0,11675.42857142857,11709.92857142857,11534.47619047619
11705.0,11774.0,11636.0,11636.0,226667,VND,69.0,138.0,11675.42857142857,11714.857142857143,11560.714285714286
11705.0,11705.0,11567.0,11636.0,473753,VND,69.0,138.0,11685.285714285714,11705.0,11586.952380952382
