Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
13800.0,14000.0,13800.0,13900.0,60490,VND,-100.0,200.0,13771.42857142857,13878.57142857143,14028.57142857143
13900.0,14300.0,13800.0,14000.0,125010,VND,-100.0,500.0,13800.0,13864.285714285714,14004.761904761905
14000.0,14500.0,14000.0,14400.0,467590,VND,-400.0,500.0,13885.714285714286,13892.857142857143,14000.0
14300.0,14400.0,14100.0,14100.0,303670,VND,200.0,300.0,13942.857142857143,13914.285714285714,13985.714285714286
14300.0,14700.0,14200.0,14500.0,867510,VND,-200.0,500.0,14057.142857142857,13957.142857142857,14000.0
14600.0,15100.0,14500.0,14700.0,2085400,VND,-100.0,600.0,14200.0,14014.285714285714,14023.809523809523
14900.0,15700.0,14800.0,15500.0,1432010,VND,-600.0,900.0,14442.857142857143,14114.285714285714,14085.714285714286
15700.0,15900.0,15100.0,15400.0,1305200,VND,300.0,800.0,14657.142857142857,14214.285714285714,14138.095238095239
15400.0,15800.0,15200.0,15200.0,711250,VND,200.0,600.0,14828.57142857143,14314.285714285714,14185.714285714286
15200.0,15500.0,15000.0,15300.0,1185270,VND,-100.0,500.0,14957.142857142857,14421.42857142857,14247.619047619048
15800.0,15900.0,15500.0,15700.0,1796540,VND,100.0,400.0,15185.714285714286,14564.285714285714,14338.095238095239
15600.0,15700.0,15400.0,15400.0,414530,VND,200.0,300.0,15314.285714285714,14685.714285714286,14409.52380952381
15400.0,15400.0,15100.0,15100.0,809640,VND,300.0,300.0,15371.42857142857,14785.714285714286,14466.666666666666
15100.0,16100.0,14900.0,16100.0,2685500,VND,-1000.0,1200.0,15457.142857142857,14950.0,14561.904761904761
16700.0,17000.0,16400.0,16600.0,1957260,VND,100.0,600.0,15628.57142857143,15142.857142857143,14685.714285714286
16800.0,17300.0,16700.0,17100.0,2945000,VND,-300.0,600.0,15900.0,15364.285714285714,14842.857142857143
17100.0,17800.0,16800.0,17500.0,4379550,VND,-400.0,1000.0,16214.285714285714,15585.714285714286,15019.047619047618
17500.0,18700.0,17500.0,18700.0,5743830,VND,-1200.0,1200.0,16642.85714285714,15914.285714285714,15257.142857142857
19000.0,19500.0,18500.0,18800.0,4276430,VND,200.0,1000.0,17128.571428571428,16221.42857142857,15500.0
18500.0,18700.0,17800.0,18000.0,3180240,VND,500.0,900.0,17542.85714285714,16457.14285714286,15704.761904761905
17800.0,18500.0,17600.0,18000.0,2519910,VND,-200.0,900.0,17814.285714285714,16635.714285714286,15904.761904761905
18100.0,18200.0,16800.0,16800.0,3433500,VND,1300.0,1400.0,17842.85714285714,16735.714285714286,16042.857142857143
16300.0,16500.0,15700.0,16200.0,3613050,VND,100.0,800.0,17714.285714285714,16807.14285714286,16147.619047619048
16500.0,17100.0,16300.0,17100.0,3311850,VND,-600.0,800.0,17657.14285714286,16935.714285714286,16276.190476190477
17100.0,17900.0,17100.0,17700.0,3178500,VND,-600.0,800.0,17514.285714285714,17078.571428571428,16447.619047619046
17600.0,18200.0,17500.0,17800.0,3786930,VND,-200.0,700.0,17371.428571428572,17250.0,16604.761904761905
18000.0,18500.0,17800.0,18400.0,2715190,VND,-400.0,700.0,17428.571428571428,17485.714285714286,16780.95238095238
18100.0,18600.0,18100.0,18400.0,2654890,VND,-300.0,500.0,17485.714285714286,17650.0,16919.04761904762
