Date,Open,High,Low,Close,Volume,Currency
2014-12-04,12047.7,12222.6,12047.7,12147.6,888922,VND
2014-12-05,12197.6,12222.6,12122.7,12172.6,674584,VND
2014-12-08,12172.6,12172.6,12047.7,12072.7,702247,VND
2014-12-09,12022.7,12022.7,11797.7,11797.7,2978899,VND
2014-12-10,11772.7,11947.7,11747.7,11922.7,1412584,VND
2014-12-11,11872.7,11922.7,11797.7,11847.7,974504,VND
2014-12-12,11897.7,12122.7,11872.7,12022.7,679653,VND
2014-12-15,12022.7,12022.7,11947.7,11947.7,539875,VND
2014-12-16,11922.7,11947.7,11797.7,11797.7,1603626,VND
2014-12-17,11822.7,11822.7,11197.8,11297.8,3259737,VND
2014-12-18,11372.8,11647.7,11372.8,11547.8,855061,VND
2014-12-19,11747.7,11747.7,11397.8,11397.8,1000579,VND
2014-12-22,11547.8,11622.8,11497.8,11572.8,797630,VND
2014-12-23,11572.8,11772.7,11547.8,11722.7,890876,VND
2014-12-24,11797.7,11847.7,11697.7,11722.7,524945,VND
2014-12-25,11647.7,11697.7,11597.8,11622.8,307737,VND
2014-12-26,11622.8,11622.8,11497.8,11547.8,1029463,VND
2014-12-29,11697.7,11697.7,11447.8,11472.8,606314,VND
2014-12-30,11522.8,11572.8,11347.8,11572.8,957254,VND
2014-12-31,11672.7,11997.7,11622.8,11997.7,1439056,VND
2015-01-05,11997.7,12047.7,11897.7,11947.7,835215,VND
2015-01-06,11872.7,12022.7,11822.7,12022.7,1111534,VND
2015-01-07,12022.7,12272.6,12022.7,12097.7,1238274,VND
2015-01-08,12072.7,12097.7,11947.7,11972.7,694003,VND
2015-01-09,11972.7,12122.7,11972.7,12072.7,977680,VND
2015-01-12,12072.7,12297.6,12072.7,12147.6,2073307,VND
2015-01-13,12097.7,12197.6,12097.7,12172.6,739069,VND
2015-01-14,12172.6,12222.6,12047.7,12147.6,1285783,VND
2015-01-15,12197.6,12197.6,12097.7,12172.6,860741,VND
2015-01-16,12197.6,12197.6,12097.7,12122.7,532303,VND
2015-01-19,12122.7,12122.7,11997.7,11997.7,1120602,VND
2015-01-20,11997.7,12047.7,11972.7,11997.7,1050347,VND
2015-01-21,12047.7,12197.6,12047.7,12097.7,1854114,VND
2015-01-22,12147.6,12147.6,12047.7,12047.7,913531,VND
2015-01-23,12097.7,12172.6,12047.7,12097.7,1179408,VND
2015-01-26,12097.7,12172.6,12097.7,12097.7,1172965,VND
2015-01-27,12072.7,12147.6,11997.7,11997.7,1295065,VND
2015-01-28,11972.7,12072.7,11947.7,11972.7,795890,VND
2015-01-29,11972.7,11997.7,11947.7,11972.7,685332,VND
2015-01-30,11997.7,12022.7,11872.7,11872.7,1793690,VND
2015-02-02,11897.7,11947.7,11822.7,11847.7,669913,VND
2015-02-03,11847.7,11872.7,11747.7,11747.7,632541,VND
2015-02-04,11847.7,11847.7,11672.7,11722.7,937469,VND
2015-02-05,11747.7,11872.7,11722.7,11797.7,558713,VND
2015-02-06,11872.7,11872.7,11797.7,11822.7,349230,VND
2015-02-09,11922.7,11922.7,11797.7,11797.7,444369,VND
2015-02-10,11797.7,11822.7,11747.7,11772.7,437561,VND
2015-02-11,11822.7,11872.7,11797.7,11872.7,425622,VND
2015-02-12,11972.7,12047.7,11947.7,11947.7,1328528,VND
2015-02-13,11997.7,12047.7,11947.7,11997.7,607077,VND
2015-02-24,12047.7,12197.6,12047.7,12147.6,1074285,VND
2015-02-25,12197.6,12247.6,12097.7,12122.7,1590436,VND
2015-02-26,12097.7,12247.6,12097.7,12247.6,844833,VND
2015-02-27,12272.6,12322.6,12172.6,12197.6,961589,VND
2015-03-02,12247.6,12247.6,12097.7,12122.7,1438903,VND
2015-03-03,12197.6,12222.6,12147.6,12222.6,655043,VND
2015-03-04,12297.6,12622.6,12297.6,12497.6,3033400,VND
2015-03-05,12622.6,12747.5,12497.6,12497.6,1201574,VND
2015-03-06,12497.6,12622.6,12472.6,12497.6,1023265,VND
2015-03-09,12472.6,12497.6,12297.6,12297.6,1266181,VND
2015-03-10,12372.6,12422.6,12322.6,12422.6,1002655,VND
2015-03-11,12422.6,12422.6,12347.6,12372.6,895059,VND
2015-03-12,12372.6,12372.6,12272.6,12297.6,1124022,VND
2015-03-13,12372.6,12422.6,12272.6,12297.6,868496,VND
2015-03-16,12297.6,12347.6,12297.6,12347.6,654891,VND
2015-03-17,12372.6,12622.6,12372.6,12497.6,2190918,VND
2015-03-18,12497.6,12497.6,12397.6,12397.6,697453,VND
2015-03-19,12472.6,12497.6,12372.6,12372.6,770731,VND
2015-03-20,12372.6,12472.6,12347.6,12447.6,868160,VND
2015-03-23,12447.6,12472.6,12347.6,12347.6,839307,VND
2015-03-24,12372.6,12372.6,12197.6,12272.6,1065705,VND
2015-03-25,12372.6,12372.6,12247.6,12297.6,675103,VND
2015-03-26,12347.6,12347.6,12297.6,12322.6,842910,VND
2015-03-27,12397.6,12397.6,12297.6,12297.6,692720,VND
2015-03-30,12347.6,12347.6,12097.7,12097.7,1261204,VND
2015-03-31,12097.7,12172.6,12097.7,12097.7,712200,VND
2015-04-01,12172.6,12172.6,11922.7,11922.7,827155,VND
2015-04-02,11947.7,12122.7,11922.7,12022.7,513037,VND
2015-04-03,12122.7,12197.6,12022.7,12197.6,356131,VND
2015-04-06,12197.6,12272.6,12122.7,12122.7,513464,VND
2015-04-07,12097.7,12247.6,12097.7,12222.6,458659,VND
2015-04-08,12247.6,12272.6,12197.6,12222.6,496336,VND
2015-04-09,12222.6,12247.6,12122.7,12222.6,790638,VND
2015-04-10,12222.6,12347.6,12197.6,12297.6,1053889,VND
2015-04-13,12297.6,12347.6,12272.6,12297.6,500916,VND
2015-04-14,12297.6,12297.6,12172.6,12172.6,684813,VND
2015-04-15,12222.6,12247.6,12122.7,12222.6,680904,VND
2015-04-16,12222.6,12297.6,12172.6,12197.6,466628,VND
2015-04-17,12222.6,12872.5,12222.6,12747.5,4572755,VND
2015-04-20,12747.5,12747.5,12472.6,12622.6,1095138,VND
2015-04-21,12622.6,12747.5,12497.6,12497.6,805965,VND
2015-04-22,12497.6,12747.5,12497.6,12497.6,1646005,VND
2015-04-23,12622.6,12747.5,12447.6,12622.6,1958382,VND
2015-04-24,12622.6,12747.5,12497.6,12622.6,819522,VND
2015-04-27,12872.5,13122.5,12747.5,12872.5,1944185,VND
2015-05-04,12872.5,12997.5,12247.6,12347.6,2498410,VND
2015-05-05,12347.6,12622.6,12297.6,12497.6,1356954,VND
2015-05-06,12497.6,12622.6,12397.6,12397.6,1241419,VND
2015-05-07,12447.6,12622.6,12397.6,12472.6,804744,VND
2015-05-08,12472.6,12622.6,12472.6,12472.6,736077,VND
2015-05-11,12497.6,12497.6,12397.6,12422.6,700140,VND
2015-05-12,12422.6,12422.6,12297.6,12297.6,773204,VND
2015-05-13,12297.6,12322.6,12172.6,12297.6,1439147,VND
2015-05-14,12247.6,12397.6,12247.6,12322.6,870114,VND
2015-05-15,12347.6,12397.6,12272.6,12272.6,680172,VND
2015-05-18,12247.6,12297.6,12197.6,12197.6,1505983,VND
2015-05-19,12172.6,12297.6,12172.6,12297.6,797783,VND
2015-05-20,12397.6,12747.5,12372.6,12747.5,3260470,VND
2015-05-21,12747.5,13247.4,12622.6,13122.5,6005246,VND
2015-05-22,13122.5,13247.4,12997.5,12997.5,1953986,VND
2015-05-25,12997.5,13497.4,12997.5,13497.4,3646003,VND
2015-05-26,13372.4,13497.4,13247.4,13247.4,2911697,VND
2015-05-27,13247.4,13372.4,12997.5,13122.5,3714915,VND
2015-05-28,13332.7,13449.9,13215.5,13303.4,3075547,VND
2015-05-29,13332.7,13332.7,13156.9,13186.2,950037,VND
2015-06-01,13156.9,13156.9,12981.1,12981.1,1985193,VND
2015-06-02,12981.1,12981.1,12805.2,12805.2,2097500,VND
2015-06-03,12805.2,13127.6,12775.9,12951.7,1695055,VND
2015-06-04,12951.7,13039.7,12951.7,13010.4,596073,VND
2015-06-05,13039.7,13156.9,12951.7,13127.6,1535596,VND
2015-06-08,13186.2,13215.5,12981.1,12981.1,1855736,VND
2015-06-09,12951.7,13244.8,12951.7,12981.1,1642805,VND
2015-06-10,12981.1,13098.3,12922.4,13069.0,663191,VND
2015-06-11,13069.0,13156.9,13069.0,13127.6,1115098,VND
2015-06-12,13156.9,13274.1,13156.9,13215.5,2000141,VND
2015-06-15,13303.4,13303.4,13127.6,13186.2,907079,VND
2015-06-16,13186.2,13244.8,13039.7,13039.7,1272725,VND
2015-06-17,13010.4,13069.0,12981.1,13010.4,1283319,VND
2015-06-18,13010.4,13186.2,13010.4,13039.7,861015,VND
2015-06-19,13039.7,13215.5,13039.7,13127.6,1393262,VND
2015-06-22,13186.2,13420.6,13156.9,13362.0,3381801,VND
2015-06-23,13362.0,13391.3,13303.4,13332.7,1656054,VND
2015-06-24,13362.0,13362.0,13244.8,13244.8,947435,VND
2015-06-25,13215.5,13244.8,13186.2,13186.2,1553226,VND
2015-06-26,13215.5,14035.9,13215.5,13567.1,11178222,VND
2015-06-29,13713.6,13977.3,13625.7,13713.6,2483855,VND
2015-06-30,13567.1,13684.3,13567.1,13596.4,2783020,VND
2015-07-01,13596.4,13801.5,13508.5,13713.6,1958351,VND
2015-07-02,13684.3,13889.4,13655.0,13830.8,2894529,VND
2015-07-03,13889.4,13889.4,13742.9,13772.2,2013814,VND
2015-07-06,13801.5,13918.7,13772.2,13918.7,2600542,VND
2015-07-07,13889.4,14182.5,13830.8,13948.0,3007712,VND
2015-07-08,13948.0,14006.6,13655.0,13684.3,3770519,VND
2015-07-09,13625.7,13742.9,13537.8,13684.3,2654518,VND
2015-07-10,13684.3,13772.2,13596.4,13655.0,2218700,VND
2015-07-13,13655.0,13918.7,13625.7,13742.9,1299461,VND
2015-07-14,13742.9,13830.8,13655.0,13742.9,1050502,VND
2015-07-15,13772.2,13772.2,13596.4,13596.4,1738783,VND
2015-07-16,13537.8,13596.4,13420.6,13596.4,1622362,VND
2015-07-17,13567.1,13742.9,13537.8,13596.4,837757,VND
2015-07-20,13596.4,13596.4,13449.9,13537.8,1114647,VND
2015-07-21,13479.2,13508.5,13303.4,13362.0,2326971,VND
2015-07-22,13362.0,13625.7,13332.7,13625.7,1208103,VND
2015-07-23,13596.4,14035.9,13596.4,13772.2,5682886,VND
2015-07-24,13830.8,14006.6,13830.8,13948.0,3233333,VND
2015-07-27,14035.9,14504.8,14006.6,14358.3,4953479,VND
2015-07-28,14358.3,14358.3,14123.9,14123.9,1684462,VND
2015-07-29,14123.9,14270.4,13977.3,14035.9,2971153,VND
2015-07-30,14035.9,14065.2,13860.1,13860.1,2491236,VND
2015-07-31,13977.3,14006.6,13860.1,13860.1,1437229,VND
2015-08-03,13772.2,13772.2,13596.4,13625.7,3017854,VND
2015-08-04,13742.9,13889.4,13655.0,13772.2,1397006,VND
2015-08-05,13830.8,13889.4,13742.9,13889.4,830801,VND
2015-08-06,13889.4,13948.0,13713.6,13713.6,1489771,VND
2015-08-07,13772.2,13918.7,13684.3,13860.1,1451221,VND
2015-08-10,13918.7,14211.8,13918.7,14211.8,3134833,VND
2015-08-11,14211.8,14358.3,14065.2,14153.2,2286934,VND
2015-08-12,14065.2,14065.2,13860.1,13948.0,3337462,VND
2015-08-13,13948.0,13948.0,13713.6,13772.2,4176653,VND
2015-08-14,13742.9,13860.1,13625.7,13713.6,1864975,VND
2015-08-17,13713.6,13801.5,13479.2,13537.8,2166848,VND
2015-08-18,13537.8,13684.3,13479.2,13655.0,1995787,VND
2015-08-19,13744.8,13924.5,13625.1,13804.7,2285288,VND
2015-08-20,13834.7,13834.7,13595.1,13625.1,1020076,VND
2015-08-21,13505.3,13535.2,13175.9,13535.2,3146037,VND
2015-08-24,13295.7,13355.6,12666.8,12696.8,5596519,VND
2015-08-25,12577.0,13026.2,12577.0,12846.5,3458291,VND
2015-08-26,12876.4,13325.6,12876.4,13205.8,2550548,VND
2015-08-27,13205.8,13355.6,13175.9,13265.7,1863754,VND
2015-08-28,13355.6,13415.4,13265.7,13385.5,2345848,VND
2015-08-31,13325.6,13415.4,13205.8,13235.8,1018563,VND
2015-09-01,13295.7,13295.7,13145.9,13205.8,848510,VND
2015-09-03,13145.9,13205.8,13086.1,13086.1,959250,VND
2015-09-04,13086.1,13205.8,13056.1,13116.0,531424,VND
2015-09-07,13175.9,13175.9,12996.2,13056.1,381072,VND
2015-09-08,13026.2,13205.8,13026.2,13145.9,517990,VND
2015-09-09,13265.7,13295.7,13205.8,13205.8,933762,VND
2015-09-10,13205.8,13235.8,13145.9,13235.8,607543,VND
2015-09-11,13295.7,13295.7,13175.9,13175.9,473572,VND
2015-09-14,13175.9,13175.9,13086.1,13086.1,566204,VND
2015-09-15,13056.1,13145.9,13026.2,13086.1,241976,VND
2015-09-16,13086.1,13145.9,13056.1,13086.1,328476,VND
2015-09-17,13086.1,13175.9,13086.1,13116.0,323856,VND
2015-09-18,13355.6,13445.4,13205.8,13355.6,1974281,VND
2015-09-21,13325.6,13625.1,13325.6,13625.1,1456796,VND
2015-09-22,13625.1,13655.0,13505.3,13535.2,768382,VND
2015-09-23,13505.3,13595.1,13445.4,13445.4,1189066,VND
2015-09-24,13415.4,13565.2,13415.4,13505.3,763232,VND
2015-09-25,13535.2,13535.2,13415.4,13445.4,688387,VND
2015-09-28,13445.4,13475.3,13325.6,13325.6,710424,VND
2015-09-29,13325.6,13325.6,13265.7,13325.6,690564,VND
2015-09-30,13415.4,13415.4,13265.7,13325.6,423923,VND
2015-10-01,13325.6,13385.5,13295.7,13355.6,476492,VND
2015-10-02,13355.6,13415.4,13325.6,13355.6,482625,VND
2015-10-05,13385.5,13505.3,13355.6,13475.3,1015377,VND
2015-10-06,13655.0,13834.7,13595.1,13774.8,2453004,VND
2015-10-07,13834.7,13834.7,13475.3,13535.2,896459,VND
2015-10-08,13535.2,13714.9,13535.2,13714.9,878883,VND
2015-10-09,13774.8,13894.6,13714.9,13714.9,2068109,VND
2015-10-12,13685.0,13744.8,13685.0,13714.9,1100788,VND
2015-10-13,13714.9,13714.9,13595.1,13625.1,791507,VND
2015-10-14,14074.2,14343.7,13954.5,13984.4,8168864,VND
2015-10-15,14044.3,14044.3,13924.5,13954.5,1132993,VND
2015-10-16,13984.4,14044.3,13984.4,13984.4,1456584,VND
2015-10-19,13984.4,14313.8,13984.4,14104.2,3707648,VND
2015-10-20,14104.2,14343.7,14074.2,14164.1,5225908,VND
2015-10-21,14253.9,14253.9,14074.2,14074.2,1867869,VND
2015-10-22,14014.4,14104.2,14014.4,14044.3,1257459,VND
2015-10-23,14134.1,14194.0,14074.2,14104.2,1910747,VND
2015-10-26,14224.0,14523.4,14224.0,14253.9,6985559,VND
2015-10-27,14194.0,14463.5,14194.0,14373.7,3571580,VND
2015-10-28,14403.6,14643.2,14403.6,14613.3,7097069,VND
2015-10-29,14763.0,14882.8,14703.1,14763.0,4902715,VND
2015-10-30,14792.9,14822.9,14643.2,14763.0,2608799,VND
2015-11-02,14792.9,15272.0,14763.0,14822.9,7407942,VND
2015-11-03,14972.6,15721.2,14942.7,15721.2,10085930,VND
2015-11-04,15871.0,16020.7,15571.5,15571.5,4705104,VND
2015-11-05,15421.8,16020.7,15421.8,16020.7,7242005,VND
2015-11-06,16020.7,16320.1,15571.5,15721.2,8402504,VND
2015-11-09,15571.5,15721.2,15421.8,15421.8,5403846,VND
2015-11-10,15421.8,15571.5,15122.3,15272.0,5442502,VND
2015-11-11,15122.3,15571.5,15122.3,15122.3,4753796,VND
2015-11-12,15272.0,16020.7,15122.3,15871.0,9330717,VND
2015-11-13,15871.0,16320.1,15721.2,16320.1,7326673,VND
