Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
10440.0,10539.0,10243.0,10539.0,165400,VND,-99.0,296.0,10524.714285714286,11017.214285714286,11017.285714285714
10440.0,10440.0,10046.0,10440.0,211500,VND,0.0,394.0,10524.714285714286,10855.357142857143,11003.190476190477
9849.0,10243.0,9849.0,10145.0,21100,VND,-296.0,394.0,10440.285714285714,10693.57142857143,10993.809523809523
10046.0,10145.0,9849.0,9849.0,102600,VND,197.0,296.0,10355.857142857143,10552.857142857143,10979.714285714286
10046.0,10145.0,9849.0,9948.0,82200,VND,98.0,296.0,10299.57142857143,10468.42857142857,10942.190476190477
9849.0,9849.0,9849.0,9849.0,59200,VND,0.0,0.0,10187.0,10391.0,10871.809523809523
10539.0,10539.0,9849.0,10342.0,56200,VND,197.0,690.0,10158.857142857143,10369.92857142857,10806.142857142857
9849.0,10243.0,9849.0,10145.0,5500,VND,-296.0,394.0,10102.57142857143,10313.642857142857,10712.333333333334
10145.0,10243.0,9849.0,9948.0,130900,VND,197.0,394.0,10032.285714285714,10278.5,10581.0
9849.0,10145.0,9751.0,9849.0,98300,VND,0.0,394.0,9990.0,10215.142857142857,10459.047619047618
9849.0,9948.0,9751.0,9948.0,166300,VND,-99.0,197.0,10004.142857142857,10180.0,10369.952380952382
9751.0,10046.0,9652.0,9849.0,122500,VND,-98.0,394.0,9990.0,10144.785714285714,10308.952380952382
9849.0,9849.0,9652.0,9751.0,155800,VND,98.0,197.0,9976.0,10081.5,10252.666666666666
9751.0,9751.0,9455.0,9751.0,122000,VND,0.0,296.0,9891.57142857143,10025.214285714286,10210.47619047619
9751.0,9849.0,9554.0,9849.0,111100,VND,-98.0,295.0,9849.285714285714,9975.92857142857,10158.857142857143
9652.0,9652.0,9652.0,9652.0,39000,VND,0.0,0.0,9807.0,9919.642857142857,10121.333333333334
9751.0,9849.0,9652.0,9652.0,73100,VND,99.0,197.0,9778.857142857143,9884.42857142857,10069.714285714286
9849.0,9849.0,9751.0,9849.0,67100,VND,0.0,98.0,9764.714285714286,9884.42857142857,10041.57142857143
9751.0,9849.0,9751.0,9751.0,144400,VND,0.0,98.0,9750.714285714286,9870.357142857143,10013.42857142857
9849.0,9849.0,9652.0,9652.0,212200,VND,197.0,197.0,9736.57142857143,9856.285714285714,9966.52380952381
9652.0,9652.0,9357.0,9357.0,87700,VND,295.0,295.0,9680.285714285714,9785.92857142857,9910.238095238095
