Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
40902.0,42301.0,40806.0,42301.0,4238270,VND,-1399.0,1495.0,43196.857142857145,43582.71428571428,42751.23809523809
42301.0,44230.0,41963.0,43314.0,4667920,VND,-1013.0,2267.0,42907.42857142857,43734.28571428572,42990.09523809524
42253.0,43121.0,40613.0,43024.0,3454800,VND,-771.0,2508.0,42631.71428571428,43775.57142857143,43212.857142857145
43121.0,45340.0,43073.0,44857.0,3436010,VND,-1736.0,2267.0,42700.57142857143,43865.142857142855,43497.666666666664
45291.0,45291.0,43893.0,44954.0,5066980,VND,337.0,1398.0,42783.28571428572,43954.71428571428,43686.0
45243.0,45436.0,43893.0,45050.0,3263200,VND,193.0,1543.0,43293.142857142855,43878.92857142857,43743.42857142857
44568.0,44568.0,43410.0,43410.0,2243860,VND,1158.0,1158.0,43844.28571428572,43741.07142857143,43720.42857142857
43410.0,44857.0,42783.0,42976.0,2175420,VND,434.0,2074.0,43940.71428571428,43568.78571428572,43702.04761904762
42976.0,44375.0,42108.0,42446.0,2378080,VND,530.0,2267.0,43816.71428571428,43362.07142857143,43761.76190476191
42928.0,43024.0,41288.0,42928.0,1579540,VND,0.0,1736.0,43803.0,43217.357142857145,43784.71428571428
42446.0,42928.0,41481.0,42832.0,2241390,VND,-386.0,1447.0,43513.71428571428,43107.142857142855,43748.0
41770.0,42446.0,41674.0,42397.0,2739770,VND,-627.0,772.0,43148.42857142857,42965.857142857145,43685.95238095238
41963.0,42012.0,41674.0,42012.0,1808640,VND,-49.0,338.0,42714.42857142857,43003.78571428572,43490.76190476191
42060.0,42156.0,41385.0,41481.0,2578830,VND,579.0,771.0,42438.857142857145,43141.57142857143,43307.0
41481.0,42012.0,41288.0,41674.0,2479350,VND,-193.0,724.0,42252.857142857145,43096.78571428572,43130.142857142855
41674.0,42349.0,40709.0,40999.0,1357460,VND,675.0,1640.0,42046.142857142855,42931.42857142857,42923.42857142857
41481.0,41963.0,40323.0,40999.0,2182740,VND,482.0,1640.0,41770.57142857143,42786.78571428572,42735.09523809524
40613.0,41867.0,40420.0,40999.0,1018640,VND,-386.0,1447.0,41508.71428571428,42511.21428571428,42574.333333333336
40999.0,41385.0,40709.0,40999.0,1427550,VND,0.0,676.0,41309.0,42228.71428571428,42413.57142857143
40999.0,40999.0,40565.0,40806.0,1687940,VND,193.0,434.0,41136.71428571428,41925.57142857143,42381.42857142857
40999.0,42687.0,40902.0,42446.0,5974370,VND,-1447.0,1785.0,41274.57142857143,41856.71428571428,42519.23809523809
42446.0,43024.0,42446.0,42928.0,4347760,VND,-482.0,578.0,41453.71428571428,41853.28571428572,42549.09523809524
43121.0,43217.0,42928.0,43217.0,2863300,VND,-96.0,289.0,41770.57142857143,41908.357142857145,42544.47619047619
43217.0,43748.0,42735.0,43603.0,4333110,VND,-386.0,1013.0,42142.57142857143,41956.57142857143,42572.04761904762
43266.0,43314.0,42446.0,42446.0,2666350,VND,820.0,868.0,42349.28571428572,41929.0,42457.23809523809
42446.0,42639.0,41626.0,41963.0,2119630,VND,483.0,1013.0,42487.0,41898.0,42314.80952380953
41963.0,42446.0,40999.0,40999.0,2881270,VND,964.0,1447.0,42514.57142857143,41825.642857142855,42121.90476190476
40516.0,40709.0,39455.0,40516.0,2122680,VND,0.0,1254.0,42238.857142857145,41756.71428571428,41984.09523809524
39648.0,42156.0,39648.0,42156.0,3490240,VND,-2508.0,2508.0,42128.57142857143,41791.142857142855,41945.04761904762
42156.0,43362.0,42156.0,43217.0,4513810,VND,-1061.0,1206.0,42128.57142857143,41949.57142857143,41981.76190476191
43024.0,43844.0,42880.0,43844.0,3904720,VND,-820.0,964.0,42163.0,42152.78571428572,42025.380952380954
43893.0,44664.0,43844.0,44375.0,3603320,VND,-482.0,820.0,42438.57142857143,42393.92857142857,42098.857142857145
44375.0,44375.0,43410.0,44279.0,2358520,VND,96.0,965.0,42769.42857142857,42628.21428571428,42188.47619047619
44375.0,44471.0,43893.0,43989.0,2317540,VND,386.0,578.0,43196.57142857143,42855.57142857143,42282.619047619046
43796.0,44182.0,43555.0,43989.0,2115830,VND,-193.0,627.0,43692.71428571428,42965.78571428572,42402.04761904762
44279.0,44954.0,43989.0,44857.0,5350390,VND,-578.0,965.0,44078.57142857143,43103.57142857143,42553.619047619046
44857.0,45147.0,44568.0,44809.0,2804190,VND,48.0,579.0,44306.0,43217.28571428572,42735.04761904762
44809.0,44857.0,44471.0,44809.0,2975100,VND,0.0,386.0,44443.857142857145,43303.42857142857,42916.47619047619
44857.0,46980.0,44664.0,46980.0,7770500,VND,-2123.0,2316.0,44816.0,43627.28571428572,43201.28571428572
47269.0,48813.0,47269.0,48813.0,9215650,VND,-1544.0,1544.0,45463.71428571428,44116.57142857143,43573.380952380954
48813.0,49005.0,47462.0,48330.0,5630290,VND,483.0,1543.0,46083.857142857145,44640.21428571428,43931.666666666664
