Date,Open,High,Low,Close,Volume
2015-01-05,4566.4,4652.6,4523.3,4566.4,2193042
2015-01-06,4480.3,4609.5,4480.3,4609.5,2758305
2015-01-07,4609.5,4652.6,4566.4,4566.4,2465822
2015-01-08,4566.4,4609.5,4523.3,4566.4,1137517
2015-01-09,4566.4,4652.6,4523.3,4652.6,4335130
2015-01-12,4609.5,4738.7,4609.5,4652.6,7365367
2015-01-13,4609.5,4652.6,4609.5,4652.6,823635
2015-01-14,4609.5,4652.6,4523.3,4652.6,2429698
2015-01-15,4609.5,4695.7,4609.5,4652.6,2112744
2015-01-16,4609.5,4609.5,4566.4,4566.4,2338277
2015-01-19,4566.4,4609.5,4523.3,4523.3,3112336
2015-01-20,4523.3,4566.4,4480.3,4566.4,1552884
2015-01-21,4566.4,4609.5,4523.3,4609.5,6662390
2015-01-22,4609.5,4609.5,4523.3,4566.4,2743368
2015-01-23,4566.4,4566.4,4394.1,4437.2,13717159
2015-01-26,4437.2,4437.2,4290.7,4290.7,12369151
2015-01-27,4351,4394.1,4299.3,4351,11565431
2015-01-28,4394.1,4394.1,4290.7,4351,1990602
2015-01-29,4351,4351,4230.4,4256.2,3233524
2015-01-30,4256.2,4256.2,4118.4,4118.4,8370785
2015-02-02,4118.4,4204.5,4092.5,4092.5,2053951
2015-02-03,4092.5,4135.6,4023.6,4023.6,4832383
2015-02-04,3989.2,4066.7,3885.8,3894.4,6395119
2015-02-05,3877.1,3885.8,3791,3868.5,10303971
2015-02-06,3954.7,4023.6,3937.5,3963.3,2142406
2015-02-09,3963.3,4006.4,3859.9,3859.9,3903026
2015-02-10,3877.1,4006.4,3799.6,3989.2,7421406
2015-02-11,3989.2,4170.1,3989.2,4170.1,4051545
2015-02-12,4178.7,4256.2,4135.6,4204.5,3484375
2015-02-13,4204.5,4273.5,4178.7,4239,3577173
2015-02-24,4247.6,4247.6,4178.7,4247.6,4416169
2015-02-25,4195.9,4239,4170.1,4170.1,5168935
2015-02-26,4170.1,4204.5,4092.5,4127,6840677
2015-02-27,4109.8,4109.8,4023.6,4058.1,11771048
2015-03-02,4015,4058.1,3971.9,3980.5,6731565
2015-03-03,3997.8,4075.3,3997.8,4058.1,7097566
2015-03-04,4058.1,4092.5,4049.5,4058.1,3433103
2015-03-05,4066.7,4118.4,4066.7,4075.3,7973745
2015-03-06,4075.3,4075.3,4040.8,4066.7,3144646
2015-03-09,4083.9,4221.8,4083.9,4187.3,11762362
2015-03-10,4187.3,4221.8,4127,4135.6,9796548
2015-03-11,4118.4,4187.3,4092.5,4092.5,5147007
2015-03-12,4058.1,4092.5,4023.6,4032.2,7946414
2015-03-13,4032.2,4058.1,3997.8,4006.4,5004314
2015-03-16,4006.4,4006.4,3868.5,3885.8,10992753
2015-03-17,3885.8,3954.7,3877.1,3877.1,6783684
2015-03-18,3903,3911.6,3825.4,3842.7,11574753
2015-03-19,3834.1,3859.9,3747.9,3791,13457833
2015-03-20,3791,3989.2,3773.8,3989.2,23178532
2015-03-23,3989.2,3989.2,3877.1,3877.1,12078362
2015-03-24,3834.1,3859.9,3799.6,3816.8,8521317
2015-03-25,3799.6,3834.1,3782.4,3791,8114001
2015-03-26,3782.4,3834.1,3773.8,3782.4,5282072
2015-03-27,3782.4,3816.8,3773.8,3782.4,2682033
2015-03-30,3799.6,3825.4,3773.8,3791,7262717
2015-03-31,3791,3816.8,3791,3799.6,7086337
2015-04-01,3799.6,3842.7,3782.4,3791,6070750
2015-04-02,3791,3808.2,3765.1,3799.6,4771154
2015-04-03,3808.2,3885.8,3791,3868.5,10948472
2015-04-06,3859.9,3868.5,3816.8,3825.4,2878858
2015-04-07,3808.2,3859.9,3808.2,3825.4,4973275
2015-04-08,3842.7,3842.7,3808.2,3808.2,3545393
2015-04-09,3808.2,3851.3,3808.2,3808.2,4215107
2015-04-10,3816.8,3834.1,3808.2,3808.2,4119555
2015-04-13,3842.7,3842.7,3808.2,3808.2,2130223
2015-04-14,3808.2,3834.1,3808.2,3816.8,4471679
2015-04-15,3825.4,3920.2,3825.4,3877.1,13049352
2015-04-16,3894.4,3928.8,3868.5,3868.5,7689842
2015-04-17,3851.3,4006.4,3851.3,3928.8,10403125
2015-04-20,3920.2,3928.8,3877.1,3885.8,3976862
2015-04-21,3885.8,3885.8,3868.5,3885.8,4500810
2015-04-22,3885.8,3971.9,3885.8,3885.8,6777328
2015-04-23,3894.4,3920.2,3825.4,3834.1,5144676
2015-04-24,3842.7,3851.3,3834.1,3834.1,3930251
2015-04-27,3877.1,3920.2,3791,3791,4182055
2015-05-04,3851.3,3851.3,3704.8,3730.7,11077288
2015-05-05,3730.7,3851.3,3722.1,3808.2,8127031
2015-05-06,3816.8,3834.1,3747.9,3747.9,10527067
2015-05-07,3747.9,3791,3747.9,3773.8,5724452
2015-05-08,3809,3901.6,3729.7,3729.7,3993139
2015-05-11,3716.4,3756.1,3650.3,3663.5,2860706
2015-05-12,3716.4,3716.4,3557.7,3557.7,4832064
2015-05-13,3531.3,3557.7,3438.7,3478.4,9123582
2015-05-14,3451.9,3544.5,3438.7,3544.5,5188566
2015-05-15,3544.5,3544.5,3451.9,3451.9,3919056
2015-05-18,3385.8,3438.7,3280,3280,12524904
2015-05-19,3253.5,3332.9,3253.5,3306.4,6069158
2015-05-20,3306.4,3531.3,3306.4,3531.3,6385265
2015-05-21,3531.3,3557.7,3478.4,3531.3,4101685
2015-05-22,3504.8,3557.7,3491.6,3557.7,3533103
2015-05-25,3557.7,3597.4,3491.6,3531.3,1430389
2015-05-26,3557.7,3610.6,3518.1,3597.4,4811371
2015-05-27,3584.2,3597.4,3531.3,3544.5,2924479
2015-05-28,3504.8,3584.2,3504.8,3544.5,2988533
2015-05-29,3544.5,3571,3504.8,3518.1,3949918
2015-06-01,3518.1,3531.3,3491.6,3491.6,3838828
2015-06-02,3465.2,3504.8,3465.2,3478.4,6698546
2015-06-03,3451.9,3491.6,3385.8,3385.8,10344010
2015-06-04,3385.8,3425.5,3385.8,3399,7606681
2015-06-05,3412.3,3412.3,3319.7,3346.1,13670966
2015-06-08,3372.6,3451.9,3372.6,3438.7,6476156
2015-06-09,3438.7,3676.8,3425.5,3571,19701988
2015-06-10,3637.1,3756.1,3637.1,3742.9,22558386
2015-06-11,3822.3,3861.9,3769.3,3809,10205519
2015-06-12,3809,3848.7,3756.1,3782.6,9419632
2015-06-15,3782.6,3809,3756.1,3795.8,11808368
2015-06-16,3809,3901.6,3782.6,3822.3,12754780
2015-06-17,3795.8,3809,3742.9,3756.1,11165915
2015-06-18,3795.8,3795.8,3716.4,3742.9,6268314
2015-06-19,3729.7,3742.9,3637.1,3637.1,18309876
2015-06-22,3690,3690,3650.3,3676.8,3706976
2015-06-23,3663.5,3769.3,3663.5,3729.7,5662938
2015-06-24,3690,3729.7,3676.8,3690,7360915
2015-06-25,3663.5,3690,3623.9,3623.9,6343174
2015-06-26,3623.9,3703.2,3597.4,3610.6,5130020
2015-06-29,3610.6,3703.2,3610.6,3703.2,7486764
2015-06-30,3690,3822.3,3676.8,3822.3,24213778
2015-07-01,3822.3,3835.5,3703.2,3729.7,7619111
2015-07-02,3729.7,3795.8,3703.2,3782.6,6534843
2015-07-03,3795.8,3835.5,3782.6,3795.8,7578573
2015-07-06,3795.8,3901.6,3795.8,3888.4,13167851
2015-07-07,3888.4,4060.3,3835.5,3981,20180032
2015-07-08,3981,4033.9,3914.8,3941.3,12384506
2015-07-09,3914.8,3928.1,3848.7,3861.9,12777450
2015-07-10,3901.6,3901.6,3822.3,3822.3,9521187
2015-07-13,3835.5,3888.4,3782.6,3795.8,8260081
2015-07-14,3795.8,3928.1,3729.7,3861.9,16208574
2015-07-15,3875.2,3888.4,3782.6,3782.6,6581172
2015-07-16,3769.3,3928.1,3742.9,3914.8,11173612
2015-07-17,4007.4,4086.8,3981,3994.2,18892936
2015-07-20,3981,4033.9,3914.8,4033.9,9822039
2015-07-21,4033.9,4152.9,4033.9,4152.9,19040326
2015-07-22,4166.1,4430.6,4166.1,4430.6,36057528
2015-07-23,4470.3,4510,4364.5,4377.7,11301369
2015-07-24,4377.7,4615.8,4377.7,4576.1,23328666
2015-07-27,4629,4748.1,4629,4708.4,17057528
2015-07-28,4708.4,4748.1,4536.4,4536.4,14188488
2015-07-29,4496.8,4576.1,4417.4,4417.4,21705832
2015-07-30,4404.2,4510,4391,4443.9,9627968
2015-07-31,4430.6,4457.1,4298.4,4298.4,16176370
2015-08-03,4232.2,4351.3,4166.1,4298.4,20170074
2015-08-04,4298.4,4404.2,4271.9,4311.6,7037605
2015-08-05,4364.5,4470.3,4351.3,4443.9,7490366
2015-08-06,4457.1,4457.1,4377.7,4391,7051871
2015-08-07,4417.4,4536.4,4391,4510,19074930
2015-08-10,4549.7,4655.5,4549.7,4602.6,15740700
2015-08-11,4629,4629,4536.4,4562.9,13981564
2015-08-12,4536.4,4536.4,4377.7,4404.2,20391122
2015-08-13,4377.7,4404.2,4245.5,4324.8,17609302
2015-08-14,4311.6,4404.2,4232.2,4311.6,12923497
2015-08-17,4338.1,4338.1,4192.6,4192.6,10125998
2015-08-18,4192.6,4258.7,4152.9,4245.5,10047678
2015-08-19,4219,4232.2,4126.4,4205.8,11593746
2015-08-20,4205.8,4232.2,4086.8,4113.2,8550198
2015-08-21,4033.9,4033.9,3888.4,3994.2,17805420
2015-08-24,3914.8,3914.8,3716.4,3716.4,31115292
2015-08-25,3650.3,3967.7,3650.3,3967.7,19734122
2015-08-26,4020.6,4205.8,4020.6,4166.1,13367995
2015-08-27,4166.1,4219,4113.2,4139.7,15910547
2015-08-28,4139.7,4232.2,4126.4,4179.3,16620515
2015-08-31,4166.1,4166.1,4100,4113.2,7202579
2015-09-01,4113.2,4179.3,4100,4113.2,10243443
2015-09-03,4100,4100,3941.3,3981,10026844
2015-09-04,3981,4020.6,3901.6,3928.1,5862164
2015-09-07,3888.4,3941.3,3848.7,3861.9,6327213
2015-09-08,3875.2,3994.2,3861.9,3994.2,5758278
2015-09-09,4047.1,4073.5,4007.4,4060.3,10076209
2015-09-10,4007.4,4060.3,3967.7,4020.6,4928322
2015-09-11,4007.4,4020.6,3928.1,3928.1,6221491
2015-09-14,3928.1,3954.5,3848.7,3875.2,4194978
2015-09-15,3861.9,3888.4,3848.7,3861.9,3390093
2015-09-16,3875.2,3928.1,3861.9,3928.1,2516351
2015-09-17,3941.3,4020.6,3941.3,3967.7,4296462
2015-09-18,4033.9,4086.8,4020.6,4073.5,11248190
2015-09-21,4060.3,4271.9,4020.6,4192.6,15209760
2015-09-22,4192.6,4232.2,4166.1,4205.8,5553049
2015-09-23,4166.1,4205.8,4139.7,4179.3,7515154
2015-09-24,4192.6,4192.6,4139.7,4152.9,7144174
2015-09-25,4126.4,4152.9,4100,4113.2,3579361
2015-09-28,4100,4126.4,3994.2,3994.2,7099400
2015-09-29,3967.7,3981,3928.1,3981,7104767
