Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
13429.0,13705.0,13429.0,13636.0,81388,VND,-207.0,276.0,13311.285714285714,13198.07142857143,13229.190476190477
13567.0,13774.0,13567.0,13774.0,108919,VND,-207.0,207.0,13399.857142857143,13222.714285714286,13248.904761904761
13498.0,13842.0,13498.0,13842.0,134083,VND,-344.0,344.0,13498.142857142857,13262.07142857143,13271.857142857143
13842.0,13842.0,13705.0,13774.0,84829,VND,68.0,137.0,13606.42857142857,13360.5,13294.857142857143
13842.0,14118.0,13842.0,13911.0,94297,VND,-69.0,276.0,13724.42857142857,13414.57142857143,13334.190476190477
13980.0,13980.0,13911.0,13911.0,54162,VND,69.0,69.0,13822.714285714286,13478.5,13366.952380952382
13911.0,14187.0,13911.0,14118.0,102675,VND,-207.0,276.0,13852.285714285714,13547.357142857143,13412.857142857143
14187.0,14187.0,13980.0,14118.0,177863,VND,69.0,207.0,13921.142857142857,13616.214285714286,13439.095238095239
14187.0,14187.0,14049.0,14118.0,189973,VND,69.0,138.0,13970.285714285714,13685.07142857143,13471.904761904761
14118.0,14256.0,14118.0,14118.0,87777,VND,0.0,138.0,14009.714285714286,13753.92857142857,13511.285714285714
14187.0,14256.0,14118.0,14118.0,84147,VND,69.0,138.0,14058.857142857143,13832.642857142857,13593.285714285714
14118.0,14256.0,14049.0,14256.0,113769,VND,-138.0,207.0,14108.142857142857,13916.285714285714,13645.761904761905
14393.0,14669.0,14325.0,14669.0,96286,VND,-276.0,344.0,14216.42857142857,14019.57142857143,13724.47619047619
14669.0,14807.0,14531.0,14531.0,62598,VND,138.0,276.0,14275.42857142857,14063.857142857143,13790.047619047618
14531.0,15426.0,14462.0,15289.0,344312,VND,-758.0,964.0,14442.714285714286,14181.92857142857,13891.714285714286
15289.0,15289.0,14875.0,14875.0,105623,VND,414.0,414.0,14550.857142857143,14260.57142857143,13973.666666666666
14875.0,15151.0,14807.0,14807.0,239314,VND,68.0,344.0,14649.285714285714,14329.5,14052.380952380952
14875.0,15013.0,14738.0,15013.0,263519,VND,-138.0,275.0,14777.142857142857,14418.0,14147.47619047619
15082.0,15151.0,14944.0,14944.0,187228,VND,138.0,207.0,14875.42857142857,14491.785714285714,14236.0
15151.0,15151.0,14807.0,14944.0,128202,VND,207.0,344.0,14914.714285714286,14565.57142857143,14317.952380952382
14875.0,15082.0,14875.0,15013.0,86833,VND,-138.0,207.0,14983.57142857143,14629.5,14370.42857142857
15013.0,15426.0,15013.0,15082.0,147369,VND,-69.0,413.0,14954.0,14698.357142857143,14439.285714285714
15013.0,15151.0,14944.0,15082.0,67405,VND,-69.0,207.0,14983.57142857143,14767.214285714286,14501.57142857143
15082.0,15151.0,14944.0,14944.0,127258,VND,138.0,207.0,15003.142857142857,14826.214285714286,14554.047619047618
14944.0,15013.0,14944.0,15013.0,209358,VND,-69.0,69.0,15003.142857142857,14890.142857142857,14613.047619047618
15013.0,15151.0,14944.0,15082.0,84176,VND,-69.0,207.0,15022.857142857143,14949.142857142857,14668.809523809523
15151.0,15220.0,15013.0,15151.0,63252,VND,0.0,207.0,15052.42857142857,14983.57142857143,14727.857142857143
15220.0,15564.0,15220.0,15495.0,92060,VND,-275.0,344.0,15121.285714285714,15052.42857142857,14793.42857142857
15358.0,15771.0,15358.0,15564.0,131368,VND,-206.0,413.0,15190.142857142857,15072.07142857143,14862.285714285714
15633.0,15702.0,15564.0,15702.0,84365,VND,-69.0,138.0,15278.714285714286,15131.142857142857,14937.714285714286
