Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
56000.0,56333.0,55667.0,55667.0,156765,VND,333.0,666.0,62809.57142857143,71369.07142857143,75150.80952380953
56000.0,56667.0,55333.0,56333.0,247875,VND,-333.0,1334.0,58928.57142857143,69571.42857142857,73976.19047619047
56000.0,56667.0,56000.0,56333.0,180435,VND,-333.0,667.0,55190.42857142857,67809.5,72730.14285714286
56333.0,56667.0,56000.0,56333.0,202170,VND,0.0,667.0,55523.71428571428,66190.42857142857,71388.85714285714
56333.0,56667.0,56000.0,56333.0,444015,VND,0.0,667.0,55761.71428571428,64571.357142857145,70047.57142857143
56333.0,57333.0,56333.0,57000.0,492465,VND,-667.0,1000.0,56190.28571428572,63107.07142857143,68761.85714285714
57000.0,57333.0,56667.0,57000.0,68235,VND,0.0,666.0,56428.42857142857,61464.21428571428,67619.0
57000.0,57000.0,56333.0,56667.0,61155,VND,333.0,667.0,56571.28571428572,59690.42857142857,66436.47619047618
56333.0,56333.0,55333.0,56333.0,220650,VND,0.0,1000.0,56571.28571428572,57749.92857142857,65238.04761904762
55333.0,56667.0,55333.0,56667.0,177270,VND,-1334.0,1334.0,56619.0,55904.71428571428,64079.333333333336
56667.0,56667.0,55667.0,56667.0,19935,VND,0.0,1000.0,56666.71428571428,56095.21428571428,63015.857142857145
56667.0,57000.0,55667.0,55667.0,67725,VND,1000.0,1333.0,56571.57142857143,56166.642857142855,61904.76190476191
56000.0,56000.0,55333.0,55333.0,33135,VND,667.0,667.0,56333.42857142857,56261.857142857145,60849.19047619047
55667.0,55667.0,55000.0,55667.0,87900,VND,0.0,667.0,56143.0,56285.71428571428,59690.47619047619
55667.0,56000.0,55667.0,55667.0,16275,VND,0.0,333.0,56000.142857142855,56285.71428571428,58460.333333333336
55667.0,56333.0,55667.0,55667.0,45540,VND,0.0,666.0,55905.0,56238.142857142855,57134.95238095238
55667.0,56000.0,55000.0,55333.0,121605,VND,334.0,1000.0,55714.42857142857,56166.71428571428,55841.28571428572
55667.0,55667.0,54667.0,55667.0,69825,VND,0.0,1000.0,55571.57142857143,56119.142857142855,55920.666666666664
55667.0,55667.0,55000.0,55000.0,16230,VND,667.0,667.0,55476.28571428572,56023.92857142857,55936.52380952381
55333.0,56000.0,55000.0,56000.0,51855,VND,-667.0,1000.0,55571.57142857143,55952.5,56031.76190476191
56000.0,56000.0,55000.0,55000.0,100530,VND,1000.0,1000.0,55476.28571428572,55809.642857142855,56015.90476190476
54667.0,55000.0,54000.0,54000.0,55680,VND,667.0,1000.0,55238.142857142855,55619.142857142855,55936.52380952381
53333.0,54667.0,52667.0,54333.0,158790,VND,-1000.0,2000.0,55047.57142857143,55476.28571428572,55841.28571428572
53333.0,54333.0,53333.0,54333.0,145995,VND,-1000.0,1000.0,54904.71428571428,55309.57142857143,55746.04761904762
54000.0,54667.0,53667.0,54333.0,62355,VND,-333.0,1000.0,54714.142857142855,55142.857142857145,55650.80952380953
54333.0,55000.0,54333.0,54333.0,119040,VND,0.0,667.0,54618.857142857145,55047.57142857143,55555.57142857143
55000.0,55000.0,54333.0,54333.0,174315,VND,667.0,667.0,54380.71428571428,54976.142857142855,55428.57142857143
54333.0,55667.0,54333.0,54667.0,204765,VND,-334.0,1334.0,54333.142857142855,54904.71428571428,55317.47619047619
54667.0,56000.0,54667.0,55667.0,201270,VND,-1000.0,1333.0,54571.28571428572,54904.71428571428,55269.857142857145
55667.0,56333.0,55333.0,56333.0,202035,VND,-666.0,1000.0,54857.0,54952.28571428572,55269.857142857145
56667.0,57333.0,56667.0,57333.0,518295,VND,-666.0,666.0,55285.57142857143,55095.142857142855,55301.57142857143
57333.0,57333.0,57000.0,57333.0,226845,VND,0.0,333.0,55714.142857142855,55214.142857142855,55333.28571428572
57333.0,58000.0,57000.0,58000.0,188805,VND,-667.0,1000.0,56238.0,55428.42857142857,55444.380952380954
58000.0,58000.0,57000.0,57000.0,272520,VND,1000.0,1000.0,56619.0,55499.857142857145,55523.76190476191
57000.0,57667.0,57000.0,57667.0,182745,VND,-667.0,667.0,57047.57142857143,55690.357142857145,55619.0
58000.0,60667.0,57667.0,60000.0,529980,VND,-2000.0,3000.0,57666.57142857143,56118.92857142857,55825.333333333336
60667.0,60667.0,59667.0,59667.0,395355,VND,1000.0,1000.0,58142.857142857145,56499.92857142857,56015.80952380953
59333.0,59667.0,59000.0,59000.0,201795,VND,333.0,667.0,58381.0,56833.28571428572,56190.42857142857
58667.0,59667.0,58667.0,58667.0,249405,VND,0.0,1000.0,58571.57142857143,57142.857142857145,56333.28571428572
58667.0,60000.0,58333.0,58667.0,108150,VND,0.0,1667.0,58666.857142857145,57452.42857142857,56507.90476190476
57333.0,58667.0,57333.0,58333.0,51330,VND,-1000.0,1334.0,58857.28571428572,57738.142857142855,56619.0
58667.0,58667.0,57667.0,58000.0,115665,VND,667.0,1000.0,58904.857142857145,57976.21428571428,56761.857142857145
59333.0,59333.0,57667.0,58333.0,71400,VND,1000.0,1666.0,58666.71428571428,58166.642857142855,56968.19047619047
58667.0,58667.0,58000.0,58000.0,47025,VND,667.0,667.0,58428.57142857143,58285.71428571428,57142.80952380953
56333.0,58000.0,56333.0,56667.0,47655,VND,-334.0,1667.0,58095.28571428572,58238.142857142855,57253.95238095238
55667.0,56667.0,55333.0,56000.0,156105,VND,-333.0,1334.0,57714.28571428572,58142.92857142857,57333.333333333336
55667.0,56667.0,55667.0,56000.0,87075,VND,-333.0,1000.0,57333.28571428572,58000.07142857143,57412.71428571428
56667.0,56667.0,55000.0,55000.0,428580,VND,1667.0,1667.0,56857.142857142855,57857.21428571428,57444.47619047619
55000.0,55333.0,52667.0,52667.0,2628374,VND,2333.0,2666.0,56095.28571428572,57500.07142857143,57349.23809523809
53000.0,54333.0,53000.0,54000.0,268545,VND,-1000.0,1333.0,55476.28571428572,57071.5,57269.857142857145
54000.0,54667.0,53333.0,53667.0,102945,VND,333.0,1334.0,54857.28571428572,56642.92857142857,57142.90476190476
53000.0,53333.0,52000.0,52667.0,807795,VND,333.0,1333.0,54285.857142857145,56190.57142857143,56920.71428571428
52333.0,52667.0,51000.0,51333.0,789255,VND,1000.0,1667.0,53619.142857142855,55666.71428571428,56635.0
51333.0,51333.0,50000.0,51333.0,787980,VND,0.0,1333.0,52952.42857142857,55142.857142857145,56317.52380952381
50333.0,51333.0,50333.0,51333.0,230280,VND,-1000.0,1000.0,52428.57142857143,54642.857142857145,56047.666666666664
51333.0,51667.0,50667.0,51333.0,465585,VND,0.0,1000.0,52238.0,54166.642857142855,55746.04761904762
51000.0,51333.0,50000.0,50000.0,706320,VND,1000.0,1333.0,51666.57142857143,53571.42857142857,55269.857142857145
50667.0,50667.0,50000.0,50000.0,273675,VND,667.0,667.0,51142.71428571428,53000.0,54809.52380952381
50333.0,51000.0,50000.0,50000.0,749175,VND,333.0,1000.0,50761.71428571428,52523.78571428572,54380.95238095238
50667.0,50667.0,49667.0,49667.0,184665,VND,1000.0,1000.0,50523.71428571428,52071.42857142857,53952.380952380954
49667.0,50000.0,48667.0,49667.0,206265,VND,0.0,1333.0,50285.71428571428,51619.07142857143,53523.80952380953
