Date,Open,High,Low,Close,Volume
2015-02-24,20415,20415,19858,20044,90150
2015-02-25,20044,20044,19673,20044,189850
2015-02-26,19858,20044,19673,19673,52950
2015-02-27,19858,20044,19673,19858,235200
2015-03-02,19673,20230,19673,20230,230850
2015-03-03,20044,20601,20044,20415,521150
2015-03-04,20415,21343,20415,21343,1452499
2015-03-05,21158,22085,21158,22085,1221199
2015-03-06,22271,22457,22085,22271,382350
2015-03-09,22271,22271,21529,21529,584750
2015-03-10,21900,21900,21343,21900,775000
2015-03-11,21900,22457,21900,22271,851500
2015-03-12,22271,22457,22085,22271,660950
2015-03-13,22271,22271,22085,22085,240550
2015-03-16,21900,22271,21900,22271,415150
2015-03-17,22271,22271,21900,21900,347350
2015-03-18,21900,22271,21900,22085,372150
2015-03-19,22085,22642,21900,22642,767600
2015-03-20,22642,23199,22457,23199,948200
2015-03-23,23199,23385,22828,23013,530350
2015-03-24,23013,23013,22271,22271,318250
2015-03-25,22085,22457,22085,22271,122250
2015-03-26,22085,23013,22085,22828,477550
2015-03-27,22828,23385,22828,23385,785900
2015-03-30,23385,23756,23385,23570,454550
2015-03-31,23756,24127,23756,23941,766850
2015-04-01,23756,24127,23756,23756,587150
2015-04-02,23756,24127,23570,24127,1282999
2015-04-03,23941,24127,23941,24127,295550
2015-04-06,24127,24127,23756,24127,77050
2015-04-07,24498,25797,24313,25797,1560799
2015-04-08,25983,27468,25983,26168,607800
2015-04-09,26168,26540,25983,26354,494000
2015-04-10,26540,26540,24869,24869,450250
2015-04-13,24127,24313,23199,23756,506850
2015-04-14,23385,24313,23385,23756,768750
2015-04-15,23941,24127,23570,23941,541250
2015-04-16,23941,23941,23199,23385,720500
2015-04-17,23199,23199,22642,22828,355100
2015-04-20,22828,24127,22457,22828,212500
2015-04-21,22457,22828,21714,21714,290300
2015-04-22,21714,21714,20415,21158,392950
2015-04-23,20972,22271,20972,22085,166700
2015-04-24,23013,23385,22085,22085,277600
2015-04-27,22271,22271,21714,21714,92550
2015-05-04,22085,22271,21714,21900,303550
2015-05-05,21900,22085,21714,21900,4300
2015-05-06,21900,21900,21529,21714,66500
2015-05-07,22085,22085,21529,21714,86800
2015-05-08,21714,21714,21158,21343,107850
2015-05-11,21714,21714,20786,21158,150000
2015-05-12,21529,21529,20786,20972,55700
2015-05-13,20972,20972,20415,20415,108000
2015-05-14,20415,20415,19858,19858,162650
2015-05-15,19858,20415,19858,19858,111650
2015-05-18,20044,20230,19858,19858,99150
2015-05-19,20230,20230,19673,20044,84750
2015-05-20,19858,20044,19858,19858,78000
2015-05-21,19858,20044,19673,19858,34800
2015-05-22,19858,19858,19487,19487,28750
2015-05-25,19487,20230,19487,20044,85550
2015-05-26,19858,20415,19858,20044,140450
2015-05-27,20044,20230,19858,19858,61200
2015-05-28,20415,20415,19858,19858,77050
2015-05-29,20044,20044,19858,20044,91100
2015-06-01,19673,20044,19673,20044,35050
2015-06-02,19858,19858,19858,19858,29050
2015-06-03,20044,20044,19673,19858,48400
2015-06-04,19858,19858,19673,19858,42450
2015-06-05,19858,19858,19487,19487,197050
2015-06-08,19487,19673,19487,19487,42000
2015-06-09,19487,19487,19302,19302,125600
2015-06-10,19302,19673,19302,19302,104050
2015-06-11,19673,20601,19487,20230,365300
2015-06-12,20786,21343,20230,20230,300600
2015-06-15,20415,20415,19858,20044,142000
2015-06-16,19673,19858,19302,19858,72450
2015-06-17,19858,19858,19487,19487,62250
2015-06-18,19487,19858,19302,19673,76750
2015-06-19,19673,19858,19487,19858,58350
2015-06-22,19858,20044,19487,19487,174350
2015-06-23,19302,19302,18188,18930,400100
2015-06-24,19023,19951,18559,18791,322640
2015-06-25,18791,19023,17515,17515,349880
2015-06-26,16935,16935,16355,16355,193720
2015-06-29,16355,17399,16355,17399,354000
2015-06-30,18095,18559,18095,18559,217120
2015-07-01,19719,19835,19371,19603,813160
2015-07-02,18791,19487,18327,18675,112200
2015-07-03,18675,18675,17747,18559,194120
2015-07-06,18559,18559,17863,17979,160480
2015-07-07,18211,19023,18211,18559,157400
2015-07-08,18559,18559,18211,18443,52400
2015-07-09,18675,18675,18327,18327,135360
2015-07-10,18327,18327,17631,18095,178240
2015-07-13,18095,18211,17863,17863,59800
2015-07-14,17747,17863,17283,17631,148800
2015-07-15,17747,17747,17167,17283,79960
2015-07-16,17283,17515,17283,17399,49000
2015-07-17,17283,17863,17283,17863,118000
2015-07-20,18095,18095,17747,17747,84440
2015-07-21,17979,17979,17399,17747,138720
2015-07-22,17747,18211,17399,17399,104240
2015-07-23,17283,17515,17283,17399,35640
2015-07-24,17515,17515,17283,17399,103080
2015-07-27,17283,17515,17167,17167,137320
2015-07-28,17167,17283,17051,17167,67280
2015-07-29,17051,17167,16935,16935,45840
2015-07-30,16935,17051,16819,16935,22360
2015-07-31,16819,17051,16819,16819,50720
2015-08-03,16703,16819,16587,16703,195640
2015-08-04,16587,16587,16239,16239,225520
2015-08-05,16239,17283,16239,17283,487880
2015-08-06,17283,17515,17051,17051,123160
2015-08-07,17051,17747,16935,17399,368040
2015-08-10,17167,17167,16935,17051,184120
2015-08-11,17051,17283,17051,17051,194160
2015-08-12,17051,17167,16935,17051,136920
2015-08-13,17167,17167,17051,17051,130720
2015-08-14,17051,17399,17051,17167,295640
2015-08-17,17167,17283,17167,17167,379720
2015-08-18,17283,17399,17167,17167,370040
2015-08-19,17167,17283,17051,17283,157720
2015-08-20,17167,17283,17051,17283,129480
2015-08-21,17051,17283,17051,17283,101760
2015-08-24,17283,17283,16935,16935,122520
2015-08-25,16935,17051,16935,17051,140720
2015-08-26,17051,17051,16703,16935,99880
2015-08-27,17051,17051,16935,17051,39920
2015-08-28,17051,17051,16819,16935,70240
2015-08-31,16703,16935,16703,16935,93320
2015-09-01,16703,16703,16471,16587,160360
2015-09-03,16587,16703,16471,16471,162840
2015-09-04,16471,16587,16355,16471,160560
2015-09-07,16819,17515,16587,17399,911360
2015-09-08,17399,17399,16935,17167,170400
2015-09-09,17399,17399,17051,17051,137000
2015-09-10,16935,17051,16819,16819,197440
2015-09-11,16819,16935,16703,16819,119600
2015-09-14,16703,16935,16587,16587,296800
2015-09-15,16819,16819,16471,16587,286080
2015-09-16,16703,16703,16471,16471,207720
2015-09-17,16471,16703,16471,16703,39000
2015-09-18,16587,16587,16471,16587,110720
2015-09-21,16471,16587,16471,16471,147760
2015-09-22,16587,16819,16471,16703,330920
2015-09-23,16703,16703,16587,16703,104160
2015-09-24,16703,16703,16355,16471,210280
2015-09-25,16355,16587,16355,16471,119960
2015-09-28,16471,16587,16355,16471,169800
2015-09-29,16471,16587,16239,16355,83440
2015-09-30,16471,16471,16123,16239,85560
2015-10-01,16239,16239,15659,15891,205680
2015-10-02,15775,15775,15195,15195,269200
2015-10-05,15195,15195,14383,14963,356360
2015-10-06,14499,14499,13919,14035,580160
2015-10-07,14035,14731,13687,14499,375560
2015-10-08,14499,14731,14499,14499,172640
2015-10-09,14963,15079,14615,14731,556280
2015-10-12,14731,15195,14731,14963,449400
2015-10-13,15427,15775,15079,15311,354440
2015-10-14,15543,15543,14963,14963,125280
2015-10-15,14731,14731,14499,14731,131600
2015-10-16,14731,14731,14499,14615,92120
2015-10-19,14615,14615,14151,14151,162480
2015-10-20,14151,14615,14151,14383,50000
2015-10-21,14615,14615,14151,14267,79160
2015-10-22,14151,14383,14035,14267,102000
2015-10-23,14267,14267,14151,14151,103320
2015-10-26,14267,14267,13919,14035,75520
2015-10-27,14035,14035,13687,13687,204480
2015-10-28,13687,13803,13571,13687,190880
2015-10-29,14151,14151,13803,13919,68280
2015-10-30,14151,14151,14035,14035,149240
2015-11-02,14035,14731,14035,14731,309360
2015-11-03,14963,14963,14499,14615,172400
2015-11-04,14615,14615,14383,14499,74320
2015-11-05,14499,14499,14267,14267,56000
2015-11-06,14383,14383,14267,14383,137880
2015-11-09,14267,14383,14151,14267,103520
2015-11-10,14035,14151,14035,14035,49960
2015-11-11,14151,14383,14035,14151,140200
2015-11-12,14151,14267,14035,14267,72840
2015-11-13,14267,14383,14151,14383,100640
2015-11-16,14383,14499,14151,14499,224680
2015-11-17,14615,15311,14615,15079,529200
2015-11-18,15311,15659,15195,15311,529600
2015-11-19,15543,16355,15543,16239,723520
2015-11-20,16239,16239,15543,15775,403480
2015-11-23,15775,15891,15311,15427,460280
2015-11-24,15311,16123,15195,15543,548080
2015-11-25,15543,16007,15543,15659,262000
2015-11-26,15659,16007,15659,15891,616360
2015-11-27,15891,16587,15775,16239,1133159
2015-11-30,16471,16471,16123,16355,345760
2015-12-01,16355,16355,15891,16007,445360
2015-12-02,16007,16007,15543,15543,491920
2015-12-03,15427,15891,15427,15775,333720
2015-12-04,15659,16007,15659,15775,230360
2015-12-07,15891,16007,15659,15775,290400
2015-12-08,15659,15775,15543,15659,212760
2015-12-09,15543,15775,15543,15775,232160
2015-12-10,15891,16819,15891,16819,2327039
2015-12-11,16935,17399,16935,17167,1437159
2015-12-14,17167,17167,16703,16935,815480
2015-12-15,16819,17051,16471,17051,979680
2015-12-16,17051,17167,16935,16935,538560
2015-12-17,16935,17631,16703,17399,830680
2015-12-18,17283,17283,16819,16935,485640
2015-12-21,17051,17399,16703,17167,820080
2015-12-22,17051,17167,16819,17051,696400
