Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
25819.0,25862.0,25607.0,25862.0,2792110,VND,-43.0,255.0,25139.85714285714,25091.35714285714,25143.904761904763
25819.0,25819.0,25437.0,25437.0,2636880,VND,382.0,382.0,25249.0,25118.64285714286,25139.85714285714
25352.0,25395.0,25140.0,25267.0,2887457,VND,85.0,255.0,25327.85714285714,25130.785714285714,25127.714285714286
25267.0,25480.0,25097.0,25097.0,2973031,VND,170.0,383.0,25406.714285714286,25139.85714285714,25129.714285714286
25097.0,25352.0,24970.0,24970.0,3954025,VND,127.0,382.0,25461.285714285714,25133.785714285714,25117.571428571428
25055.0,25310.0,24970.0,24970.0,3782430,VND,85.0,340.0,25352.14285714286,25121.64285714286,25111.52380952381
25013.0,25267.0,25013.0,25140.0,2961963,VND,-127.0,254.0,25249.0,25133.785714285714,25111.52380952381
25140.0,25310.0,25140.0,25140.0,3042333,VND,0.0,170.0,25145.85714285714,25142.85714285714,25109.52380952381
25140.0,25480.0,25140.0,25267.0,3306426,VND,-127.0,340.0,25121.571428571428,25185.285714285714,25119.619047619046
25395.0,25734.0,25310.0,25607.0,3516947,VND,-212.0,424.0,25170.14285714286,25249.0,25143.904761904763
25607.0,26074.0,25607.0,25819.0,3259895,VND,-212.0,467.0,25273.285714285714,25340.0,25184.333333333332
25904.0,26966.0,25904.0,26796.0,2417553,VND,-892.0,1062.0,25534.14285714286,25497.714285714286,25267.238095238095
26966.0,28452.0,26796.0,28028.0,2063199,VND,-1062.0,1656.0,25971.0,25661.571428571428,25404.761904761905
28070.0,28877.0,28028.0,28113.0,2041346,VND,-43.0,849.0,26395.714285714286,25822.35714285714,25554.428571428572
28070.0,28282.0,27560.0,27985.0,3623903,VND,85.0,722.0,26802.14285714286,25974.0,25695.95238095238
27985.0,27985.0,27391.0,27730.0,2908415,VND,255.0,594.0,27154.0,26137.785714285714,25841.52380952381
27645.0,28410.0,27645.0,28240.0,2453440,VND,-595.0,765.0,27530.14285714286,26350.14285714286,26009.380952380954
28240.0,29514.0,28240.0,28452.0,3552811,VND,-212.0,1274.0,27906.285714285714,26589.785714285714,26195.428571428572
28452.0,29217.0,28452.0,29217.0,2869183,VND,-765.0,765.0,28252.14285714286,26893.14285714286,26415.85714285714
29217.0,29514.0,29174.0,29217.0,3060418,VND,0.0,340.0,28422.0,27196.5,26581.714285714286
29217.0,29302.0,28792.0,29259.0,2709574,VND,-42.0,510.0,28585.714285714286,27490.714285714286,26743.47619047619
29217.0,29302.0,29004.0,29259.0,2189347,VND,-42.0,298.0,28767.714285714286,27784.928571428572,26905.238095238095
29217.0,29726.0,29004.0,29132.0,2144252,VND,85.0,722.0,28968.0,28061.0,27081.190476190477
29132.0,29132.0,28240.0,28877.0,2470348,VND,255.0,892.0,29059.0,28294.571428571428,27253.095238095237
28877.0,28919.0,28665.0,28877.0,2382395,VND,0.0,254.0,29119.714285714286,28513.0,27433.095238095237
28877.0,29174.0,28834.0,28877.0,2515160,VND,0.0,340.0,29071.14285714286,28661.64285714286,27619.14285714286
30873.0,30873.0,29726.0,30873.0,7898867,VND,0.0,1147.0,29307.714285714286,28864.85714285714,27900.238095238095
30873.0,32062.0,30830.0,32062.0,1990694,VND,-1189.0,1232.0,29708.14285714286,29146.928571428572,28229.85714285714
32189.0,32699.0,31043.0,31128.0,2208892,VND,1061.0,1656.0,29975.14285714286,29371.428571428572,28515.0
31000.0,31128.0,30830.0,30830.0,2356304,VND,170.0,298.0,30217.714285714286,29592.85714285714,28779.904761904763
30448.0,30576.0,28707.0,28707.0,5594417,VND,1741.0,1869.0,30193.428571428572,29626.214285714286,28927.52380952381
28792.0,29726.0,28792.0,29217.0,2720641,VND,-425.0,934.0,30242.0,29680.85714285714,29089.333333333332
29217.0,29344.0,29089.0,29174.0,1625132,VND,43.0,255.0,30284.428571428572,29677.785714285714,29202.571428571428
29132.0,29132.0,28707.0,28707.0,1501457,VND,425.0,425.0,29975.0,29641.35714285714,29234.904761904763
28707.0,28792.0,28197.0,28367.0,1327200,VND,340.0,595.0,29447.14285714286,29577.64285714286,29247.0
28367.0,29429.0,28367.0,29302.0,3405918,VND,-935.0,1062.0,29186.285714285714,29580.714285714286,29309.714285714286
29302.0,29429.0,29174.0,29344.0,1254012,VND,-42.0,255.0,28974.0,29595.85714285714,29386.571428571428
29344.0,29429.0,29004.0,29089.0,958059,VND,255.0,425.0,29028.571428571428,29611.0,29427.0
29089.0,29302.0,28962.0,29089.0,1218737,VND,0.0,340.0,29010.285714285714,29626.14285714286,29457.333333333332
29089.0,29259.0,29047.0,29174.0,1319523,VND,-85.0,212.0,29010.285714285714,29647.35714285714,29455.285714285714
29217.0,29514.0,29174.0,29387.0,1869680,VND,-170.0,340.0,29107.428571428572,29541.214285714286,29463.380952380954
29387.0,29726.0,29259.0,29514.0,1778337,VND,-127.0,467.0,29271.285714285714,29359.214285714286,29475.52380952381
29514.0,30024.0,29514.0,29896.0,1006544,VND,-382.0,510.0,29356.14285714286,29271.214285714286,29505.85714285714
30024.0,30151.0,29726.0,29896.0,713840,VND,128.0,425.0,29435.0,29204.5,29542.238095238095
29896.0,29939.0,29641.0,29896.0,405029,VND,0.0,298.0,29550.285714285714,29289.428571428572,29590.761904761905
29939.0,30108.0,29854.0,29939.0,1176727,VND,0.0,254.0,29671.714285714286,29341.0,29641.333333333332
29939.0,30108.0,29939.0,30024.0,1156358,VND,-85.0,169.0,29793.14285714286,29401.714285714286,29695.95238095238
30066.0,30108.0,29854.0,30024.0,1142724,VND,42.0,254.0,29884.14285714286,29495.785714285714,29655.52380952381
30024.0,30066.0,29896.0,29939.0,712521,VND,85.0,170.0,29944.85714285714,29608.071428571428,29554.428571428572
29981.0,29981.0,29599.0,29726.0,958977,VND,255.0,382.0,29920.571428571428,29638.35714285714,29487.666666666668
29726.0,29769.0,29599.0,29599.0,500234,VND,127.0,170.0,29878.14285714286,29656.571428571428,29429.04761904762
29641.0,29641.0,29259.0,29556.0,885507,VND,85.0,382.0,29829.571428571428,29689.928571428572,29469.47619047619
29599.0,29939.0,29514.0,29811.0,746172,VND,-212.0,425.0,29811.285714285714,29741.5,29497.761904761905
29811.0,30151.0,29769.0,30066.0,1252599,VND,-255.0,382.0,29817.285714285714,29805.214285714286,29540.238095238095
30108.0,31000.0,30066.0,30788.0,693400,VND,-680.0,934.0,29926.428571428572,29905.285714285714,29639.333333333332
30915.0,31637.0,30830.0,31043.0,692294,VND,-128.0,807.0,30084.14285714286,30014.5,29766.761904761905
31000.0,31128.0,30873.0,31000.0,625888,VND,0.0,255.0,30266.14285714286,30093.35714285714,29847.619047619046
31000.0,31213.0,30915.0,30915.0,1078413,VND,85.0,298.0,30454.14285714286,30166.14285714286,29922.428571428572
30958.0,31128.0,30321.0,30788.0,1413575,VND,170.0,807.0,30630.14285714286,30229.85714285714,30003.333333333332
30788.0,30788.0,29811.0,30024.0,1359555,VND,764.0,977.0,30660.571428571428,30235.928571428572,30047.85714285714
30024.0,30151.0,29769.0,29769.0,1492155,VND,255.0,382.0,30618.14285714286,30217.714285714286,30076.190476190477
29769.0,29769.0,29429.0,29514.0,1053170,VND,255.0,340.0,30436.14285714286,30181.285714285714,30082.238095238095
29556.0,29684.0,29471.0,29514.0,843167,VND,42.0,213.0,30217.714285714286,30150.928571428572,30082.238095238095
29514.0,29556.0,28919.0,28919.0,797766,VND,595.0,637.0,29920.428571428572,30093.285714285714,30035.714285714286
28919.0,29302.0,28750.0,29132.0,986269,VND,-213.0,552.0,29665.714285714286,30059.928571428572,29999.333333333332
