Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
60600.0,60700.0,57500.0,59000.0,1789900,VND,1600.0,3200.0,56000.0,51892.857142857145,50045.23809523809
59000.0,60100.0,58600.0,59000.0,684100,VND,0.0,1500.0,57128.57142857143,52742.857142857145,50550.0
58200.0,58900.0,57600.0,58100.0,1237030,VND,100.0,1300.0,58142.857142857145,53500.0,51166.666666666664
58000.0,60500.0,58000.0,60100.0,967250,VND,-2100.0,2500.0,59157.142857142855,54442.857142857145,51928.57142857143
60100.0,62100.0,60100.0,61000.0,1067000,VND,-900.0,2000.0,59771.42857142857,55435.71428571428,52647.619047619046
61500.0,61700.0,60400.0,61200.0,714650,VND,300.0,1300.0,59857.142857142855,56335.71428571428,53340.47619047619
61200.0,61800.0,61200.0,61200.0,522880,VND,0.0,600.0,59942.857142857145,57235.71428571428,54028.57142857143
60700.0,61200.0,59700.0,59700.0,1244790,VND,1000.0,1500.0,60042.857142857145,58021.42857142857,54609.52380952381
59700.0,61800.0,59200.0,61100.0,665100,VND,-1400.0,2600.0,60342.857142857145,58735.71428571428,55276.19047619047
61100.0,61500.0,60800.0,61500.0,554760,VND,-400.0,700.0,60828.57142857143,59485.71428571428,55942.857142857145
61400.0,61800.0,61000.0,61100.0,626820,VND,300.0,800.0,60971.42857142857,60064.28571428572,56619.04761904762
61100.0,61300.0,60800.0,61100.0,325680,VND,0.0,500.0,60985.71428571428,60378.57142857143,57285.71428571428
61000.0,63400.0,61000.0,62600.0,1104760,VND,-1600.0,2400.0,61185.71428571428,60521.42857142857,57952.380952380954
62600.0,64500.0,62300.0,63000.0,830860,VND,-400.0,2200.0,61442.857142857145,60692.857142857145,58638.09523809524
63200.0,63700.0,62700.0,63000.0,422580,VND,200.0,1000.0,61914.28571428572,60978.57142857143,59319.04761904762
62800.0,63000.0,61900.0,63000.0,848170,VND,-200.0,1100.0,62185.71428571428,61264.28571428572,59885.71428571428
62500.0,63300.0,62100.0,62800.0,546160,VND,-300.0,1200.0,62371.42857142857,61600.0,60447.619047619046
62400.0,63000.0,62300.0,62400.0,369590,VND,0.0,700.0,62557.142857142855,61764.28571428572,60895.23809523809
62300.0,63800.0,62300.0,63800.0,797760,VND,-1500.0,1500.0,62942.857142857145,61964.28571428572,61233.333333333336
64000.0,65400.0,63900.0,65400.0,1506260,VND,-1400.0,1500.0,63342.857142857145,62264.28571428572,61461.90476190476
65500.0,67000.0,64400.0,66900.0,980190,VND,-1400.0,2600.0,63900.0,62671.42857142857,61761.90476190476
67600.0,69800.0,67500.0,69500.0,1121960,VND,-1900.0,2300.0,64828.57142857143,63371.42857142857,62261.90476190476
69700.0,72000.0,69600.0,71400.0,1825360,VND,-1700.0,2400.0,66028.57142857143,64107.142857142855,62852.380952380954
72000.0,73300.0,71200.0,71800.0,1137940,VND,200.0,2100.0,67314.28571428571,64842.857142857145,63504.76190476191
71300.0,71600.0,68800.0,68800.0,1547410,VND,2500.0,2800.0,68228.57142857143,65392.857142857145,63919.04761904762
68400.0,69700.0,67300.0,68600.0,1212630,VND,-200.0,2400.0,68914.28571428571,65928.57142857143,64280.95238095238
68800.0,70200.0,67900.0,69500.0,980940,VND,-700.0,2300.0,69500.0,66421.42857142857,64676.19047619047
69900.0,70100.0,69000.0,69000.0,846590,VND,900.0,1100.0,69800.0,66850.0,65047.619047619046
69000.0,69600.0,68500.0,68900.0,1235890,VND,100.0,1100.0,69714.28571428571,67271.42857142857,65485.71428571428
