Date,Open,High,Low,Close,Volume
2015-03-05,29615,29923,29231,29231,19656
2015-03-06,29385,29385,29385,29385,65
2015-03-09,29231,30000,29231,29615,3445
2015-03-10,29231,30000,29077,30000,780
2015-03-11,29769,30000,29231,29231,18265
2015-03-12,29231,29231,29077,29231,1664
2015-03-13,29077,29231,29077,29231,1430
2015-03-16,29154,29231,29154,29231,2912
2015-03-17,28923,29000,28846,28846,6344
2015-03-18,28846,29538,28846,29231,2678
2015-03-19,29462,29462,28769,28769,14976
2015-03-20,28692,29231,28462,29231,2249
2015-03-23,28846,28846,28462,28846,16263
2015-03-24,28846,28846,28846,28846,1300
2015-03-25,28308,28923,28308,28923,1443
2015-03-26,28462,28846,28462,28846,260
2015-03-27,28462,28769,28462,28462,325
2015-03-30,28462,29154,27923,28462,65806
2015-03-31,28077,28308,27538,28308,7579
2015-04-01,28308,29154,28308,28846,1716
2015-04-02,29077,29077,28769,28769,52
2015-04-03,28462,28462,28462,28462,273
2015-04-06,28462,28462,28077,28462,5499
2015-04-07,28462,28846,28077,28846,2080
2015-04-08,27769,28462,27769,28462,3250
2015-04-09,28769,28769,28000,28692,663
2015-04-10,28385,28385,28385,28385,520
2015-04-13,28462,28846,28385,28615,3562
2015-04-14,28846,28846,28308,28615,4290
2015-04-15,29000,29000,28077,28077,2990
2015-04-16,28308,28385,27769,28308,8762
2015-04-17,28462,28846,28231,28308,27261
2015-04-20,28462,28769,28231,28769,32903
2015-04-21,28769,28769,28308,28538,24128
2015-04-22,28308,28538,28308,28538,1547
2015-04-23,28538,28615,28308,28615,29952
2015-04-24,28462,28615,28462,28615,52689
2015-04-27,28615,28769,28308,28769,28353
2015-05-04,28769,29308,28769,29308,11791
2015-05-05,29308,29538,28538,29308,24557
2015-05-06,29308,29538,29231,29538,36153
2015-05-07,29538,29923,29538,29923,20826
2015-05-08,30000,32000,30000,32000,212212
2015-05-11,34154,34154,32308,33385,73047
2015-05-12,33385,33846,32308,33385,18460
2015-05-13,32692,32846,32154,32385,54730
2015-05-14,31923,33000,31923,32308,20917
2015-05-15,32462,32615,32308,32615,6123
2015-05-18,33077,33077,33077,33077,5902
2015-05-19,33308,33308,33077,33077,1703
2015-05-20,33692,33692,33692,33692,65
2015-05-21,33462,33846,33462,33846,16419
2015-05-22,33846,34231,33538,34231,16185
2015-05-25,34462,34615,33923,34615,7293
2015-05-26,35385,35385,34231,34615,637
2015-05-27,34615,34615,34231,34615,52
2015-05-28,34615,35385,34538,35385,19682
2015-05-29,35385,35462,35000,35462,18538
2015-06-01,35769,37615,35769,35923,49738
2015-06-02,36154,36769,35923,36538,8268
2015-06-03,36538,36923,36538,36923,22100
2015-06-04,36923,37308,36923,36923,29263
2015-06-05,37615,38462,37615,38077,292097
2015-06-08,38000,38077,36923,38077,14430
2015-06-09,37462,37692,37308,37692,1586
2015-06-10,37692,38000,37308,38000,6123
2015-06-11,37462,38000,37462,38000,6422
2015-06-12,37692,37692,36923,37308,598
2015-06-15,37692,39615,37692,39231,8944
2015-06-16,39231,39231,37308,37308,3237
2015-06-17,38846,38846,36923,37308,1170
2015-06-18,37308,37308,37308,37308,1339
2015-06-19,38077,39231,38077,38846,36933
2015-06-22,39231,39231,38846,39231,234
2015-06-23,39231,39231,38462,39231,1989
2015-06-24,39231,39231,38846,38846,1716
2015-06-25,39231,40000,38846,40000,45786
2015-06-26,40000,40000,38462,40000,2067
2015-06-29,38462,40000,38462,40000,3718
2015-06-30,38462,39615,38462,39615,6565
2015-07-01,38462,38846,38462,38846,7813
2015-07-02,38846,38846,38462,38846,5811
2015-07-03,38846,39231,38462,39231,3172
2015-07-06,39231,39615,39231,39615,3731
2015-07-07,39615,39615,39615,39615,3926
2015-07-08,39615,40000,39615,39615,11492
2015-07-09,39615,40000,39615,40000,8359
2015-07-10,39615,40385,39615,39615,5824
2015-07-13,39615,40000,38462,40000,3237
2015-07-14,40000,40000,39231,39231,8645
2015-07-15,40000,40000,38846,39231,1352
2015-07-16,39231,39231,39231,39231,11310
2015-07-17,38846,39231,38462,39231,3315
2015-07-20,38846,41923,38846,38846,23452
2015-07-21,39615,40385,39615,39615,84669
2015-07-22,40000,40000,39615,39615,507
2015-07-23,39615,40000,39615,39615,7293
2015-07-24,39000,39000,39000,39000,30
2015-07-27,40500,41700,39000,41600,21510
2015-07-28,41500,41500,41500,41500,90
2015-07-29,43000,43000,41000,41000,4840
2015-07-30,41000,41000,40000,40000,8160
2015-07-31,40100,40400,39900,40300,6570
2015-08-03,40300,40300,40000,40100,2410
2015-08-04,40100,40100,40000,40000,1510
2015-08-05,40000,40000,39800,39800,620
2015-08-06,39000,39800,39000,39800,410
2015-08-07,39800,39800,39800,39800,30
2015-08-10,39800,39900,39700,39900,4580
2015-08-11,39400,39500,39300,39500,3740
2015-08-12,39600,39600,39300,39500,2150
2015-08-13,39500,39500,39000,39500,7000
2015-08-14,39000,39400,39000,39200,250
2015-08-17,38600,39200,38600,39200,520
2015-08-18,39200,39200,39000,39200,4550
2015-08-19,39000,39000,38500,38900,27460
2015-08-20,38900,38900,38900,38900,2640
2015-08-21,38900,39000,38700,39000,2890
2015-08-24,39300,39400,39000,39100,11410
2015-08-25,39900,40000,39400,40000,9660
2015-08-26,40000,40000,40000,40000,10620
2015-08-27,40000,40000,39800,39800,12940
2015-08-28,39600,39800,39600,39800,9660
2015-08-31,39500,39500,39500,39500,2010
