Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
16500.0,16900.0,16200.0,16400.0,2402101,VND,100.0,700.0,16171.42857142857,16342.857142857143,16595.238095238095
16500.0,16600.0,16100.0,16200.0,1725227,VND,300.0,500.0,16257.142857142857,16278.57142857143,16566.666666666668
16200.0,16300.0,15900.0,16100.0,1731257,VND,100.0,400.0,16328.57142857143,16214.285714285714,16514.285714285714
16100.0,16100.0,15700.0,16000.0,1733995,VND,100.0,400.0,16300.0,16164.285714285714,16442.85714285714
15900.0,16100.0,15700.0,15900.0,1485078,VND,0.0,400.0,16200.0,16107.142857142857,16376.190476190477
15900.0,16000.0,15300.0,15600.0,2053300,VND,300.0,700.0,16057.142857142857,16057.142857142857,16300.0
15600.0,15700.0,15500.0,15700.0,977010,VND,-100.0,200.0,15985.714285714286,16028.57142857143,16238.095238095239
15600.0,15700.0,15300.0,15600.0,1503780,VND,0.0,400.0,15871.42857142857,16021.42857142857,16185.714285714286
15700.0,15900.0,15300.0,15500.0,1698800,VND,200.0,600.0,15771.42857142857,16014.285714285714,16109.52380952381
15500.0,15600.0,15300.0,15600.0,742496,VND,-100.0,300.0,15700.0,16014.285714285714,16042.857142857143
15600.0,15600.0,15000.0,15100.0,1683810,VND,500.0,600.0,15571.42857142857,15935.714285714286,15966.666666666666
15200.0,15200.0,14500.0,14600.0,2236680,VND,600.0,700.0,15385.714285714286,15792.857142857143,15866.666666666666
14500.0,14700.0,14200.0,14600.0,1461117,VND,-100.0,500.0,15242.857142857143,15650.0,15785.714285714286
14700.0,14800.0,13400.0,14200.0,859630,VND,500.0,1400.0,15028.57142857143,15507.142857142857,15695.238095238095
14200.0,14300.0,13700.0,13800.0,1109190,VND,400.0,600.0,14771.42857142857,15321.42857142857,15604.761904761905
14400.0,14500.0,13500.0,13600.0,2116175,VND,800.0,1000.0,14500.0,15135.714285714286,15509.52380952381
13800.0,13800.0,13400.0,13600.0,1100812,VND,200.0,400.0,14214.285714285714,14957.142857142857,15414.285714285714
13600.0,14200.0,13400.0,13500.0,1171176,VND,100.0,800.0,13985.714285714286,14778.57142857143,15285.714285714286
13600.0,13600.0,12900.0,13300.0,1736969,VND,300.0,700.0,13800.0,14592.857142857143,15128.57142857143
13200.0,13500.0,13200.0,13400.0,976440,VND,-200.0,300.0,13628.57142857143,14435.714285714286,14976.190476190477
13800.0,15100.0,13600.0,14400.0,1944203,VND,-600.0,1500.0,13657.142857142857,14342.857142857143,14890.47619047619
14600.0,14600.0,14200.0,14400.0,1537398,VND,200.0,400.0,13742.857142857143,14257.142857142857,14795.238095238095
14400.0,14900.0,14200.0,14200.0,1083060,VND,200.0,700.0,13828.57142857143,14164.285714285714,14700.0
14200.0,14300.0,13700.0,13700.0,1152051,VND,500.0,600.0,13842.857142857143,14028.57142857143,14585.714285714286
13800.0,14100.0,13700.0,14000.0,819030,VND,-200.0,400.0,13914.285714285714,13950.0,14490.47619047619
14000.0,14200.0,13800.0,14100.0,623290,VND,-100.0,400.0,14028.57142857143,13914.285714285714,14404.761904761905
13800.0,14600.0,13800.0,14400.0,1895181,VND,-600.0,800.0,14171.42857142857,13900.0,14347.619047619048
14500.0,14600.0,14300.0,14500.0,693830,VND,0.0,300.0,14185.714285714286,13921.42857142857,14290.47619047619
14500.0,14600.0,14300.0,14500.0,1184478,VND,0.0,300.0,14200.0,13971.42857142857,14238.095238095239
14500.0,15000.0,14400.0,14800.0,1976452,VND,-300.0,600.0,14285.714285714286,14057.142857142857,14204.761904761905
14800.0,15000.0,14400.0,14600.0,3160750,VND,200.0,600.0,14414.285714285714,14128.57142857143,14157.142857142857
14400.0,14500.0,13600.0,14000.0,1429020,VND,400.0,900.0,14414.285714285714,14164.285714285714,14104.761904761905
13800.0,14400.0,13700.0,14200.0,1919170,VND,-400.0,700.0,14428.57142857143,14228.57142857143,14085.714285714286
14200.0,14400.0,13900.0,14200.0,388138,VND,0.0,500.0,14400.0,14285.714285714286,14066.666666666666
14000.0,14400.0,13900.0,14200.0,2197911,VND,-200.0,500.0,14357.142857142857,14271.42857142857,14066.666666666666
14000.0,14100.0,13200.0,13400.0,2170653,VND,600.0,900.0,14200.0,14200.0,14047.619047619048
13300.0,14000.0,13300.0,13900.0,728556,VND,-600.0,700.0,14071.42857142857,14178.57142857143,14061.904761904761
13800.0,13900.0,13500.0,13700.0,475750,VND,100.0,400.0,13942.857142857143,14178.57142857143,14066.666666666666
13700.0,14100.0,13600.0,14000.0,1830351,VND,-300.0,500.0,13942.857142857143,14178.57142857143,14090.47619047619
13900.0,14100.0,13900.0,14100.0,957870,VND,-200.0,200.0,13928.57142857143,14178.57142857143,14128.57142857143
14100.0,14200.0,13900.0,14200.0,745251,VND,-100.0,300.0,13928.57142857143,14164.285714285714,14166.666666666666
14200.0,14400.0,14000.0,14200.0,2905010,VND,0.0,400.0,13928.57142857143,14142.857142857143,14157.142857142857
14200.0,14300.0,14100.0,14100.0,1186745,VND,100.0,200.0,14028.57142857143,14114.285714285714,14142.857142857143
14200.0,14300.0,14000.0,14000.0,973810,VND,200.0,300.0,14042.857142857143,14057.142857142857,14133.333333333334
14000.0,14100.0,13600.0,13900.0,2020050,VND,100.0,500.0,14071.42857142857,14007.142857142857,14142.857142857143
13800.0,13900.0,13600.0,13900.0,512900,VND,-100.0,300.0,14057.142857142857,14000.0,14138.095238095239
13700.0,13700.0,13500.0,13600.0,517513,VND,100.0,200.0,13985.714285714286,13957.142857142857,14114.285714285714
13600.0,13800.0,13500.0,13700.0,790800,VND,-100.0,300.0,13914.285714285714,13921.42857142857,14080.952380952382
13600.0,13800.0,13600.0,13600.0,729128,VND,0.0,200.0,13828.57142857143,13878.57142857143,14038.095238095239
13600.0,13800.0,13500.0,13800.0,830840,VND,-200.0,300.0,13785.714285714286,13907.142857142857,14004.761904761905
13800.0,13900.0,13400.0,13500.0,1032660,VND,300.0,500.0,13714.285714285714,13878.57142857143,13942.857142857143
13500.0,13500.0,12600.0,12900.0,1394131,VND,600.0,900.0,13571.42857142857,13821.42857142857,13861.904761904761
13000.0,13500.0,12500.0,13000.0,2175293,VND,0.0,1000.0,13442.857142857143,13750.0,13814.285714285714
13100.0,13200.0,12800.0,13000.0,1690195,VND,100.0,400.0,13357.142857142857,13671.42857142857,13757.142857142857
13000.0,13300.0,13000.0,13000.0,942700,VND,0.0,300.0,13257.142857142857,13585.714285714286,13700.0
13300.0,13400.0,13100.0,13100.0,986135,VND,200.0,300.0,13185.714285714286,13507.142857142857,13647.619047619048
13300.0,13500.0,12800.0,13500.0,2845960,VND,-200.0,700.0,13142.857142857143,13464.285714285714,13652.380952380952
13800.0,13800.0,13200.0,13200.0,712980,VND,600.0,600.0,13100.0,13407.142857142857,13619.047619047618
13300.0,13400.0,13000.0,13100.0,635970,VND,200.0,400.0,13128.57142857143,13350.0,13590.47619047619
13100.0,13300.0,12900.0,13100.0,831540,VND,0.0,400.0,13142.857142857143,13292.857142857143,13547.619047619048
13100.0,13100.0,12700.0,12800.0,730416,VND,300.0,400.0,13114.285714285714,13235.714285714286,13485.714285714286
12800.0,12900.0,12400.0,12400.0,1193780,VND,400.0,500.0,13028.57142857143,13142.857142857143,13400.0
12400.0,12500.0,12000.0,12400.0,1150780,VND,0.0,500.0,12928.57142857143,13057.142857142857,13314.285714285714
12300.0,12400.0,11700.0,12000.0,816591,VND,300.0,700.0,12714.285714285714,12928.57142857143,13214.285714285714
12000.0,12100.0,11400.0,11800.0,1868830,VND,200.0,700.0,12514.285714285714,12807.142857142857,13109.52380952381
11800.0,12100.0,11400.0,11700.0,1407200,VND,100.0,700.0,12314.285714285714,12721.42857142857,13004.761904761905
11900.0,11900.0,11300.0,11600.0,851630,VND,300.0,600.0,12100.0,12621.42857142857,12895.238095238095
11600.0,11600.0,10800.0,11100.0,1295200,VND,500.0,800.0,11857.142857142857,12485.714285714286,12776.190476190477
11000.0,11000.0,10700.0,11000.0,1317750,VND,0.0,300.0,11657.142857142857,12342.857142857143,12647.619047619048
10800.0,11000.0,10700.0,11000.0,489946,VND,-200.0,300.0,11457.142857142857,12192.857142857143,12523.809523809523
10900.0,11100.0,10900.0,11000.0,315451,VND,-100.0,200.0,11314.285714285714,12014.285714285714,12390.47619047619
11100.0,11100.0,10900.0,11000.0,697600,VND,100.0,200.0,11200.0,11857.142857142857,12271.42857142857
11000.0,11800.0,10900.0,11800.0,2205187,VND,-800.0,900.0,11214.285714285714,11764.285714285714,12219.047619047618
11700.0,13200.0,11700.0,13000.0,3757005,VND,-1300.0,1500.0,11414.285714285714,11757.142857142857,12219.047619047618
13000.0,13000.0,12600.0,12900.0,1244770,VND,100.0,400.0,11671.42857142857,11764.285714285714,12214.285714285714
12900.0,12900.0,12500.0,12600.0,802090,VND,300.0,400.0,11900.0,11778.57142857143,12195.238095238095
12600.0,12900.0,12300.0,12600.0,1534210,VND,0.0,600.0,12128.57142857143,11792.857142857143,12171.42857142857
12600.0,12800.0,12600.0,12600.0,1128100,VND,0.0,200.0,12357.142857142857,11835.714285714286,12128.57142857143
12600.0,12800.0,12500.0,12700.0,607800,VND,-100.0,300.0,12600.0,11900.0,12104.761904761905
12700.0,13200.0,12500.0,13100.0,2084160,VND,-400.0,700.0,12785.714285714286,12000.0,12104.761904761905
13100.0,13300.0,13000.0,13200.0,1077075,VND,-100.0,300.0,12814.285714285714,12114.285714285714,12109.52380952381
13100.0,13300.0,12900.0,13100.0,1040300,VND,0.0,400.0,12842.857142857143,12257.142857142857,12123.809523809523
13000.0,13100.0,12800.0,13000.0,869520,VND,0.0,300.0,12900.0,12400.0,12152.380952380952
12900.0,13000.0,12700.0,12900.0,503478,VND,0.0,300.0,12942.857142857143,12535.714285714286,12176.190476190477
13000.0,13600.0,12900.0,13300.0,2312204,VND,-300.0,700.0,13042.857142857143,12700.0,12238.095238095239
13500.0,13500.0,13200.0,13300.0,553870,VND,200.0,300.0,13128.57142857143,12864.285714285714,12309.52380952381
13200.0,13400.0,13100.0,13300.0,721763,VND,-100.0,300.0,13157.142857142857,12971.42857142857,12385.714285714286
13400.0,13800.0,13200.0,13700.0,2619510,VND,-300.0,600.0,13228.57142857143,13021.42857142857,12485.714285714286
13800.0,14100.0,13600.0,13900.0,2164320,VND,-100.0,500.0,13342.857142857143,13092.857142857143,12619.047619047618
13900.0,13900.0,13500.0,13900.0,1147385,VND,0.0,400.0,13471.42857142857,13185.714285714286,12757.142857142857
13700.0,13900.0,13600.0,13700.0,1984650,VND,0.0,300.0,13585.714285714286,13264.285714285714,12885.714285714286
13700.0,13700.0,13400.0,13400.0,988038,VND,300.0,300.0,13600.0,13321.42857142857,13000.0
13500.0,13600.0,12800.0,13000.0,1169172,VND,500.0,800.0,13557.142857142857,13342.857142857143,13095.238095238095
12900.0,13000.0,12700.0,13000.0,942255,VND,-100.0,300.0,13514.285714285714,13335.714285714286,13152.380952380952
13200.0,13400.0,13000.0,13200.0,808090,VND,0.0,400.0,13442.857142857143,13335.714285714286,13161.904761904761
13200.0,13300.0,13000.0,13000.0,270855,VND,200.0,300.0,13314.285714285714,13328.57142857143,13166.666666666666
13100.0,13300.0,13000.0,13000.0,471320,VND,100.0,300.0,13185.714285714286,13328.57142857143,13185.714285714286
13200.0,13300.0,13000.0,13100.0,502713,VND,100.0,300.0,13100.0,13342.857142857143,13209.52380952381
13200.0,13300.0,13100.0,13200.0,448010,VND,0.0,200.0,13071.42857142857,13335.714285714286,13238.095238095239
13300.0,13300.0,13100.0,13100.0,273220,VND,200.0,200.0,13085.714285714286,13321.42857142857,13257.142857142857
13100.0,13300.0,13000.0,13300.0,1136652,VND,-200.0,300.0,13128.57142857143,13321.42857142857,13266.666666666666
13300.0,13400.0,13200.0,13300.0,1527425,VND,0.0,200.0,13142.857142857143,13292.857142857143,13271.42857142857
