Date,Open,High,Low,Close,Volume
2015-02-24,9631.5,9701.8,9526.1,9526.1,3658094
2015-02-25,9350.3,9561.2,9280,9526.1,4540968
2015-02-26,9561.2,9631.5,9455.8,9490.9,3708183
2015-02-27,9526.1,9561.2,9455.8,9490.9,3052286
2015-03-02,9490.9,9631.5,9490.9,9596.4,5033321
2015-03-03,9596.4,9666.7,9455.8,9490.9,4051878
2015-03-04,9420.6,9561.2,9420.6,9490.9,2644398
2015-03-05,9490.9,9701.8,9315.2,9596.4,5809267
2015-03-06,9631.5,9701.8,9596.4,9666.7,4690476
2015-03-09,9772.2,9842.5,9631.5,9666.7,5698427
2015-03-10,9666.7,9666.7,9526.1,9526.1,2548690
2015-03-11,9490.9,9561.2,9455.8,9455.8,2275223
2015-03-12,9526.1,9596.4,9420.6,9455.8,3677584
2015-03-13,9526.1,9596.4,9385.5,9526.1,2953650
2015-03-16,9596.4,9772.2,9526.1,9666.7,6035417
2015-03-17,9701.8,9737,9596.4,9596.4,3159818
2015-03-18,9561.2,9631.5,9420.6,9455.8,5246865
2015-03-19,9455.8,9490.9,9350.3,9420.6,3046475
2015-03-20,9420.6,9455.8,9350.3,9455.8,2767687
2015-03-23,9455.8,9455.8,9209.7,9244.9,5825181
2015-03-24,9209.7,9315.2,9069.1,9069.1,4637861
2015-03-25,9069.1,9139.4,8963.7,8963.7,2833914
2015-03-26,9069.1,9069.1,8893.4,8928.5,3706931
2015-03-27,8963.7,9034,8928.5,8963.7,1781931
2015-03-30,8928.5,9104.3,8928.5,9104.3,1315751
2015-03-31,9139.4,9139.4,8998.8,8998.8,1324401
2015-04-01,9034,9104.3,8963.7,9034,2650969
2015-04-02,9034,9385.5,9034,9350.3,4332319
2015-04-03,9420.6,9490.9,9350.3,9490.9,3949152
2015-04-06,9490.9,9561.2,9420.6,9526.1,3553602
2015-04-07,9490.9,9737,9490.9,9666.7,4334577
2015-04-08,9737,9737,9526.1,9526.1,4770940
