Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
29167.0,29433.0,27267.0,27267.0,6336700,VND,1900.0,2166.0,30385.85714285714,31635.785714285714,32376.238095238095
26833.0,27000.0,25367.0,27000.0,3307950,VND,-167.0,1633.0,29676.285714285714,31064.35714285714,32138.14285714286
28850.0,28850.0,27000.0,28150.0,1583450,VND,700.0,1850.0,29173.85714285714,30570.285714285714,32018.285714285714
28000.0,29000.0,27000.0,28800.0,1160990,VND,-800.0,2000.0,28831.0,30246.5,31827.809523809523
29000.0,29200.0,27850.0,28500.0,631240,VND,500.0,1350.0,28512.0,30020.285714285714,31515.095238095237
28500.0,28500.0,27500.0,27650.0,549100,VND,850.0,1000.0,28095.285714285714,29728.64285714286,31101.619047619046
27100.0,27100.0,25750.0,25750.0,1134570,VND,1350.0,1350.0,27588.14285714286,29301.285714285714,30661.14285714286
25100.0,26000.0,25100.0,26000.0,686180,VND,-900.0,900.0,27407.14285714286,28896.5,30226.238095238095
26400.0,26500.0,26000.0,26200.0,406500,VND,200.0,500.0,27292.85714285714,28484.571428571428,29807.190476190477
26000.0,26200.0,25750.0,26200.0,430160,VND,-200.0,450.0,27014.285714285714,28094.071428571428,29384.95238095238
26200.0,27500.0,25700.0,27100.0,1174520,VND,-900.0,1800.0,26771.428571428572,27801.214285714286,29088.14285714286
27500.0,28500.0,27300.0,27950.0,1139340,VND,-450.0,1200.0,26692.85714285714,27602.428571428572,28911.14285714286
28000.0,28000.0,27500.0,27900.0,680430,VND,100.0,500.0,26728.571428571428,27411.928571428572,28728.619047619046
27500.0,27900.0,27200.0,27900.0,1473990,VND,-400.0,700.0,27035.714285714286,27311.928571428572,28546.095238095237
27300.0,27850.0,26600.0,26600.0,878370,VND,700.0,1250.0,27121.428571428572,27264.285714285714,28304.809523809523
27000.0,27500.0,26300.0,26400.0,1019120,VND,600.0,1200.0,27150.0,27221.428571428572,28039.714285714286
26800.0,26850.0,24900.0,26750.0,3348190,VND,50.0,1950.0,27228.571428571428,27121.428571428572,27805.571428571428
26000.0,26250.0,25500.0,25800.0,645430,VND,200.0,750.0,27042.85714285714,26907.14285714286,27548.428571428572
25800.0,26200.0,25600.0,25950.0,1427670,VND,-150.0,600.0,26757.14285714286,26725.0,27320.666666666668
25950.0,26200.0,25900.0,26100.0,1438740,VND,-150.0,300.0,26500.0,26614.285714285714,27107.95238095238
26150.0,27900.0,26000.0,27800.0,4690660,VND,-1650.0,1900.0,26485.714285714286,26760.714285714286,27036.52380952381
27900.0,28650.0,27150.0,27550.0,2060620,VND,350.0,1500.0,26621.428571428572,26871.428571428572,27050.0
27300.0,28500.0,27000.0,28500.0,3507500,VND,-1200.0,1500.0,26921.428571428572,27035.714285714286,27121.428571428572
28600.0,28900.0,28000.0,28350.0,2418140,VND,250.0,900.0,27150.0,27189.285714285714,27130.95238095238
28000.0,28300.0,27800.0,28000.0,1478320,VND,0.0,500.0,27464.285714285714,27253.571428571428,27092.85714285714
27750.0,28200.0,27400.0,27950.0,1670400,VND,-200.0,800.0,27750.0,27253.571428571428,27066.666666666668
28150.0,28150.0,27400.0,27750.0,1406450,VND,400.0,750.0,27985.714285714286,27242.85714285714,27071.428571428572
27900.0,28300.0,27400.0,27400.0,2342630,VND,500.0,900.0,27928.571428571428,27207.14285714286,27150.0
27400.0,27700.0,26400.0,27200.0,2362660,VND,200.0,1300.0,27878.571428571428,27250.0,27207.14285714286
27000.0,27650.0,26800.0,27450.0,1369550,VND,-450.0,850.0,27728.571428571428,27325.0,27266.666666666668
27500.0,27500.0,27000.0,27200.0,850440,VND,300.0,500.0,27564.285714285714,27357.14285714286,27314.285714285714
27000.0,27200.0,26500.0,26500.0,1030610,VND,500.0,700.0,27350.0,27407.14285714286,27285.714285714286
26500.0,26900.0,25950.0,26500.0,1576340,VND,0.0,950.0,27142.85714285714,27446.428571428572,27216.666666666668
