Date,Open,High,Low,Close,Volume
2015-02-24,16716,16927,16558,16822,534023
2015-02-25,16822,17929,16822,17929,2901891
2015-02-26,17982,18245,17454,17718,2463903
2015-02-27,17771,18456,17718,18245,1557643
2015-03-02,18404,19511,18404,19458,3939034
2015-03-03,19511,19933,19353,19616,5270690
2015-03-04,19511,19669,19247,19511,2577491
2015-03-05,19405,20091,19405,19722,4028850
2015-03-06,19616,19933,19405,19405,1866919
2015-03-09,19405,19405,19036,19142,1167974
2015-03-10,19195,19616,18667,18667,1589270
2015-03-11,18667,19036,18614,18984,1382197
2015-03-12,18984,18984,18667,18667,924347
2015-03-13,18667,19458,18404,19089,3280364
2015-03-16,19247,20038,19142,19564,2358807
2015-03-17,19564,19775,19300,19300,858836
2015-03-18,19247,19405,18720,19142,1790832
2015-03-19,19142,19827,18984,19722,2311436
2015-03-20,19722,19722,19405,19458,1019572
2015-03-23,19405,19405,18773,18825,2000214
2015-03-24,18720,19036,18667,18825,1047633
2015-03-25,18773,18878,17560,17560,2571324
2015-03-26,17138,17560,16822,17454,2352847
2015-03-27,17665,18456,17665,18404,1403316
2015-03-30,18456,18984,18456,18984,1186389
2015-03-31,18878,19353,18720,19089,1741962
2015-04-01,19195,19458,19142,19195,1021450
2015-04-02,19195,19669,19142,19564,916044
2015-04-03,19722,19722,19142,19142,996696
2015-04-06,19142,19405,19142,19247,668885
2015-04-07,19511,20566,19353,20566,1744167
2015-04-08,20513,21040,20091,20091,1534664
2015-04-09,20302,21040,20249,20776,1276016
2015-04-10,20829,20829,19985,20249,1209248
2015-04-13,20196,20407,19880,20249,535625
2015-04-14,20196,20566,20038,20302,973648
2015-04-15,20460,20460,20091,20460,768762
2015-04-16,20407,20407,19985,19985,1193279
2015-04-17,19933,20038,19353,19669,2431157
2015-04-20,19669,19669,19036,19195,2033460
2015-04-21,19036,19511,19036,19405,1028202
2015-04-22,19405,19458,19195,19247,993423
2015-04-23,19195,19458,19195,19405,651401
2015-04-24,19511,19722,19353,19353,857889
2015-04-27,18456,19142,18456,18614,3563662
2015-05-04,18720,19036,18720,18825,1034869
2015-05-05,18773,18931,18614,18878,525462
2015-05-06,18773,18773,18614,18720,1764528
2015-05-07,18614,19195,18614,18984,6991050
2015-05-08,18984,19089,18509,18562,1704908
2015-05-11,18456,18667,18193,18614,2824977
2015-05-12,18509,18720,18456,18667,1139517
2015-05-13,18404,18825,18404,18456,2306854
2015-05-14,18456,18773,18404,18614,2501284
2015-05-15,18509,18720,18509,18509,1144840
2015-05-18,18509,18773,18456,18509,1166510
2015-05-19,18509,18614,18351,18456,1518816
2015-05-20,18456,18878,18404,18825,927654
2015-05-21,18825,18878,18720,18825,749710
2015-05-22,18720,18825,18720,18720,596226
2015-05-25,18720,18931,18509,18878,1199067
2015-05-26,18825,18878,18667,18720,1791211
2015-05-27,18667,19089,18667,18878,916923
2015-05-28,18878,19195,18878,18984,975422
2015-05-29,19089,19195,18984,19195,1148836
2015-06-01,19300,19353,19142,19195,1879201
2015-06-02,19142,19353,19142,19300,1180256
2015-06-03,19300,19827,19247,19669,1781564
2015-06-04,19669,19880,19669,19722,1581674
2015-06-05,19775,19775,19458,19669,907035
2015-06-08,19564,19669,19300,19353,1180635
2015-06-09,19353,19564,19353,19511,1153728
2015-06-10,19511,19564,19353,19511,703871
2015-06-11,19616,19669,19511,19616,318870
2015-06-12,19564,19669,19089,19089,346380
2015-06-15,19089,19353,18720,18773,880662
2015-06-16,18773,19616,18720,19616,816185
2015-06-17,19511,19722,19353,19564,740322
2015-06-18,19564,19880,19458,19827,1181876
2015-06-19,19827,20618,19669,20407,1784906
2015-06-22,20407,20671,20355,20513,539036
2015-06-23,20618,20618,20196,20355,745851
2015-06-24,20355,20355,19775,20091,627112
2015-06-25,19933,20302,19933,20196,106629
2015-06-26,20196,20513,19985,20249,802284
2015-06-29,19985,20407,19880,20355,958902
2015-06-30,20196,20829,20091,20618,604409
2015-07-01,20618,20935,20566,20882,831585
2015-07-02,21093,21357,20935,21093,1180963
2015-07-03,21251,22306,21093,22253,2208631
2015-07-06,22042,22358,21937,22148,1182427
2015-07-07,22148,22991,22095,22675,1751005
2015-07-08,22253,22991,22253,22622,1305248
2015-07-09,22464,23308,22411,22728,1806387
2015-07-10,22569,23202,22517,22833,1861631
2015-07-13,22833,24257,22833,24099,2080056
2015-07-14,24204,25417,24151,24204,3620336
2015-07-15,24257,24520,23202,23466,1149939
2015-07-16,23360,23993,23149,23466,694225
2015-07-17,23202,24099,23044,23782,1037281
2015-07-20,23782,24204,23519,23888,780165
2015-07-21,23729,23888,23149,23308,1190437
2015-07-22,23413,23413,22569,22833,1085996
2015-07-23,22991,23519,22622,23044,1387330
2015-07-24,22991,23202,22938,22991,443156
2015-07-27,22991,23888,22991,23888,782215
2015-07-28,23888,23993,23466,23466,621772
2015-07-29,23202,23782,23149,23413,469443
