Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
70075.0,70977.0,69774.0,70075.0,1017705,VND,0.0,1203.0,70977.14285714286,70912.71428571429,72600.90476190476
70075.0,70075.0,68992.0,69173.0,1252436,VND,902.0,1083.0,70547.57142857143,70826.78571428571,70432.95238095238
64421.0,69774.0,64421.0,69173.0,997717,VND,-4752.0,5353.0,70118.0,70822.5,70341.33333333333
69173.0,69233.0,68571.0,69173.0,190580,VND,0.0,662.0,69860.28571428571,70758.07142857143,70475.95238095238
69173.0,69173.0,68571.0,68691.0,135249,VND,482.0,602.0,69533.71428571429,70599.07142857143,70467.33333333333
68691.0,69714.0,68691.0,69473.0,348172,VND,-782.0,1023.0,69404.71428571429,70491.64285714286,70410.04761904762
69473.0,69473.0,68631.0,69173.0,182715,VND,300.0,842.0,69275.85714285714,70276.85714285714,70352.76190476191
67669.0,68631.0,66165.0,66165.0,496827,VND,1504.0,2466.0,68717.28571428571,69847.21428571429,70180.90476190476
66165.0,67970.0,64962.0,66165.0,302120,VND,0.0,3008.0,68287.57142857143,69417.57142857143,69980.38095238095
67970.0,67970.0,65263.0,67609.0,522811,VND,361.0,2707.0,68064.14285714286,69091.07142857143,69903.04761904762
67669.0,67669.0,66165.0,66947.0,741309,VND,722.0,1504.0,67746.14285714286,68803.21428571429,69754.09523809524
66947.0,66947.0,62316.0,62316.0,268824,VND,4631.0,4631.0,66835.42857142857,68184.57142857143,69344.52380952382
61413.0,66646.0,61413.0,66646.0,2207026,VND,-5233.0,5233.0,66431.57142857143,67918.14285714286,69138.28571428571
66646.0,69173.0,66646.0,68571.0,1964023,VND,-1925.0,2527.0,66345.57142857143,67810.71428571429,68966.42857142857
67067.0,68511.0,67067.0,67669.0,807690,VND,-602.0,1444.0,66560.42857142857,67638.85714285714,68751.61904761905
67669.0,68210.0,67669.0,67849.0,218384,VND,-180.0,541.0,66801.0,67544.28571428571,68545.38095238095
67789.0,67849.0,65263.0,66767.0,484542,VND,1022.0,2586.0,66680.71428571429,67372.42857142857,68287.61904761905
66165.0,66767.0,64962.0,65985.0,140351,VND,180.0,1805.0,66543.28571428571,67144.71428571429,68049.90476190476
65985.0,66646.0,64962.0,66165.0,184389,VND,-180.0,1684.0,67093.14285714286,66964.28571428571,67820.76190476191
64541.0,66767.0,64541.0,65744.0,93307,VND,-1203.0,2226.0,66964.28571428571,66697.92857142857,67600.19047619047
66466.0,66466.0,63759.0,63759.0,152344,VND,2707.0,2707.0,66276.85714285714,66311.21428571429,67299.42857142857
65564.0,66767.0,63759.0,63759.0,667127,VND,1805.0,3008.0,65718.28571428571,66139.35714285714,66998.66666666667
66165.0,66165.0,64361.0,64601.0,188386,VND,1564.0,1804.0,65254.28571428572,66027.64285714286,66780.95238095238
64962.0,64962.0,64060.0,64060.0,584642,VND,902.0,902.0,64867.57142857143,65774.14285714286,66537.47619047618
64361.0,64962.0,63819.0,64300.0,587779,VND,61.0,1143.0,64626.857142857145,65585.07142857143,66305.42857142857
61955.0,65864.0,61955.0,64842.0,228264,VND,-2887.0,3909.0,64437.857142857145,65765.5,66122.14285714286
61955.0,64782.0,61955.0,64060.0,86044,VND,-2105.0,2827.0,64197.28571428572,65580.78571428571,65864.38095238095
64361.0,64361.0,63398.0,64060.0,201337,VND,301.0,963.0,64240.28571428572,65258.57142857143,65620.90476190476
64060.0,64842.0,63759.0,63759.0,334701,VND,301.0,1083.0,64240.28571428572,64979.28571428572,65506.333333333336
63759.0,64060.0,63158.0,63699.0,109476,VND,60.0,902.0,64111.42857142857,64682.857142857145,65388.90476190476
63759.0,66466.0,63158.0,66466.0,527377,VND,-2707.0,3308.0,64455.142857142855,64661.357142857145,65334.47619047619
67368.0,67368.0,65443.0,66346.0,276981,VND,1022.0,1925.0,64747.42857142857,64687.142857142855,65305.857142857145
66346.0,66406.0,65263.0,65323.0,521089,VND,1023.0,1143.0,64816.142857142855,64627.0,65449.04761904762
66105.0,66105.0,65323.0,65443.0,430966,VND,662.0,782.0,65013.71428571428,64605.5,65391.76190476191
65684.0,65985.0,65263.0,65564.0,647075,VND,120.0,722.0,65228.57142857143,64734.42857142857,65248.57142857143
65564.0,65624.0,65443.0,65564.0,297180,VND,0.0,181.0,65486.42857142857,64863.357142857145,65148.333333333336
65564.0,65564.0,64361.0,64661.0,260812,VND,903.0,1203.0,65623.85714285714,64867.642857142855,64996.52380952381
64661.0,65443.0,64661.0,64962.0,218254,VND,-301.0,782.0,65409.0,64932.07142857143,64910.57142857143
64962.0,65564.0,64962.0,65383.0,464214,VND,-421.0,602.0,65271.42857142857,65009.42857142857,64881.90476190476
65564.0,65564.0,63759.0,64300.0,195764,VND,1264.0,1805.0,65125.28571428572,64970.71428571428,64793.09523809524
65203.0,65203.0,64300.0,64661.0,1768682,VND,542.0,903.0,65013.57142857143,65013.642857142855,64741.52380952381
64361.0,64962.0,64361.0,64842.0,660741,VND,-481.0,601.0,64910.42857142857,65069.5,64793.09523809524
64842.0,64902.0,64421.0,64842.0,708987,VND,0.0,481.0,64807.28571428572,65146.857142857145,64844.666666666664
64842.0,64902.0,64421.0,64842.0,1180107,VND,0.0,481.0,64833.142857142855,65228.5,64856.142857142855
68571.0,68571.0,65443.0,65443.0,1829051,VND,3128.0,3128.0,64901.857142857145,65155.42857142857,64922.0
67007.0,67007.0,65443.0,65443.0,935805,VND,1564.0,1564.0,64910.42857142857,65090.92857142857,64976.42857142857
65443.0,66466.0,65443.0,66105.0,1204580,VND,-662.0,1023.0,65168.28571428572,65146.78571428572,65036.57142857143
66105.0,66646.0,65925.0,66105.0,675642,VND,0.0,721.0,65374.57142857143,65194.07142857143,65133.95238095238
66165.0,67428.0,66165.0,67308.0,2229142,VND,-1143.0,1263.0,65726.85714285714,65318.642857142855,65288.619047619046
67488.0,67910.0,66827.0,67067.0,2178279,VND,421.0,1083.0,66044.71428571429,65426.0,65446.142857142855
67308.0,67308.0,66947.0,67067.0,1484713,VND,241.0,361.0,66362.57142857143,65597.85714285714,65606.52380952382
67067.0,67067.0,66466.0,66767.0,1327917,VND,300.0,601.0,66551.71428571429,65726.78571428571,65620.85714285714
66767.0,66767.0,65143.0,65143.0,493334,VND,1624.0,1624.0,66508.85714285714,65709.64285714286,65563.57142857143
64962.0,64962.0,64060.0,64601.0,665502,VND,361.0,902.0,66294.0,65731.14285714286,65529.19047619047
64601.0,66887.0,62556.0,62556.0,4919914,VND,2045.0,4331.0,65787.0,65580.78571428571,65391.71428571428
64300.0,64782.0,62676.0,63097.0,366486,VND,1203.0,2106.0,65185.42857142857,65456.142857142855,65274.23809523809
63639.0,63759.0,63218.0,63759.0,517660,VND,-120.0,541.0,64712.857142857145,65378.78571428572,65188.28571428572
63759.0,63759.0,62917.0,63158.0,466765,VND,601.0,842.0,64154.42857142857,65258.5,65116.71428571428
62556.0,63158.0,62556.0,63037.0,746021,VND,-481.0,602.0,63621.57142857143,65086.642857142855,65025.04761904762
63458.0,63458.0,62917.0,62917.0,866044,VND,541.0,541.0,63303.57142857143,64906.21428571428,64907.619047619046
62556.0,63158.0,62376.0,62376.0,786126,VND,180.0,782.0,62985.71428571428,64639.857142857145,64816.0
63037.0,63037.0,62436.0,62556.0,984165,VND,481.0,601.0,62985.71428571428,64386.357142857145,64715.76190476191
62556.0,63519.0,62556.0,63218.0,1359978,VND,-662.0,963.0,63003.0,64094.21428571428,64638.42857142857
63639.0,63759.0,63338.0,63458.0,961658,VND,181.0,421.0,62960.0,63836.42857142857,64572.52380952381
63458.0,64180.0,63398.0,63458.0,2091764,VND,0.0,782.0,63002.857142857145,63578.642857142855,64506.619047619046
63458.0,63458.0,62556.0,62917.0,337269,VND,541.0,902.0,62985.71428571428,63303.642857142855,64386.333333333336
63398.0,63398.0,61955.0,62917.0,419510,VND,481.0,1443.0,62985.71428571428,63144.642857142855,64266.04761904762
63158.0,63158.0,62496.0,63158.0,547462,VND,0.0,662.0,63097.42857142857,63041.57142857143,64125.71428571428
62917.0,63218.0,61052.0,61052.0,13166591,VND,1865.0,2166.0,62882.57142857143,62934.142857142855,63885.09523809524
61052.0,61955.0,61052.0,61894.0,1031355,VND,-842.0,903.0,62693.42857142857,62848.21428571428,63627.28571428572
61955.0,62195.0,61113.0,61594.0,767211,VND,361.0,1082.0,62427.142857142855,62693.57142857143,63366.666666666664
61353.0,61654.0,61293.0,61293.0,769567,VND,60.0,361.0,62117.857142857145,62560.357142857145,63091.71428571428
61955.0,62857.0,61955.0,62556.0,854734,VND,-601.0,902.0,62066.28571428572,62526.0,62891.19047619047
63458.0,63759.0,62917.0,63759.0,1375936,VND,-301.0,842.0,62186.57142857143,62586.142857142855,62825.28571428572
64060.0,64421.0,62015.0,62015.0,850817,VND,2045.0,2406.0,62023.28571428572,62560.357142857145,62702.142857142855
62737.0,63158.0,62436.0,62556.0,868627,VND,181.0,722.0,62238.142857142855,62560.357142857145,62702.142857142855
63097.0,63097.0,61293.0,61353.0,760451,VND,1744.0,1804.0,62160.857142857145,62427.142857142855,62619.09523809524
62556.0,62556.0,61714.0,61714.0,539191,VND,842.0,842.0,62178.0,62302.57142857143,62521.71428571428
62556.0,62556.0,61413.0,61413.0,495154,VND,1143.0,1143.0,62195.142857142855,62156.5,62438.619047619046
62030.0,62406.0,60150.0,60150.0,345540,VND,1880.0,2256.0,61851.42857142857,61958.857142857145,62301.142857142855
61052.0,61804.0,60150.0,60150.0,347204,VND,902.0,1654.0,61335.857142857145,61761.21428571428,62169.380952380954
61278.0,61278.0,60150.0,60225.0,492076,VND,1053.0,1128.0,61080.142857142855,61551.71428571428,62066.95238095238
57895.0,60301.0,56466.0,57519.0,957762,VND,376.0,3835.0,60360.57142857143,61299.357142857145,61827.09523809524
57519.0,59398.0,57143.0,57895.0,867048,VND,-376.0,2255.0,59866.57142857143,61013.71428571428,61573.619047619046
57895.0,57895.0,54887.0,54962.0,656682,VND,2933.0,3008.0,58902.0,60540.0,61169.04761904762
54962.0,56466.0,54962.0,56090.0,454753,VND,-1128.0,1504.0,58141.57142857143,60168.357142857145,60818.19047619047
57368.0,57895.0,56391.0,57443.0,390013,VND,-75.0,1504.0,57754.857142857145,59803.142857142855,60557.52380952381
