Date,Open,High,Low,Close,Volume
2015-02-24,27886,27886,27652,27827,548730
2015-02-25,27710,27944,27652,27944,790900
2015-02-26,27944,28061,27769,27886,546700
2015-02-27,27886,28295,27886,28061,1348640
2015-03-02,28061,28412,27944,27944,1658100
2015-03-03,27944,28178,27652,27652,808040
2015-03-04,27593,27827,27418,27535,1341920
2015-03-05,27710,27710,27476,27535,1001710
2015-03-06,27535,27769,27359,27710,1413920
2015-03-09,27710,27710,27476,27652,471380
2015-03-10,27652,28002,27593,27652,697260
2015-03-11,27710,27827,27535,27535,541140
2015-03-12,27535,27710,27535,27535,388400
2015-03-13,27710,27710,27535,27535,350580
2015-03-16,27710,28061,27652,28061,1317780
2015-03-17,28353,28587,28061,28178,413360
2015-03-18,28178,28236,27710,28061,884930
2015-03-19,27827,28061,27769,27827,552940
2015-03-20,27827,27944,27710,27827,317770
2015-03-23,27886,28295,27827,28061,1606130
2015-03-24,28061,28119,27886,27886,699330
2015-03-25,27886,27944,27418,27418,521530
2015-03-26,27652,27652,27184,27418,1290880
2015-03-27,27301,27476,27301,27359,451730
2015-03-30,27476,27593,27359,27418,274770
2015-03-31,27418,27769,27418,27652,748150
2015-04-01,27769,27886,27593,27593,619720
2015-04-02,27710,28353,27593,28353,1529300
2015-04-03,28587,29230,28529,29230,3800050
2015-04-06,29230,30107,29230,29522,2490100
2015-04-07,29815,30107,29230,30107,1550760
2015-04-08,29815,30107,29230,29230,1294880
2015-04-09,29230,29522,28762,29172,1982250
2015-04-10,29230,29230,28938,28938,920490
2015-04-13,28996,29230,28938,29172,1348830
2015-04-14,29172,30692,29172,30399,4059180
2015-04-15,30399,30399,29815,30107,1396440
2015-04-16,29815,30107,29522,29815,1446670
2015-04-17,29230,29815,29172,29172,2554210
2015-04-20,29172,29522,28996,29055,1131620
2015-04-21,28938,29172,28879,29055,1532630
2015-04-22,29055,29055,28762,28821,1443900
2015-04-23,28821,29172,28821,28996,1393750
2015-04-24,28996,29172,28938,28996,905710
2015-04-27,28938,28996,28587,28762,1977050
2015-05-04,28821,28879,28704,28821,568880
2015-05-05,28821,28879,28762,28821,1214310
2015-05-06,28879,28938,28529,28704,1346710
2015-05-07,28704,28762,28412,28412,3339140
2015-05-08,28412,28704,28178,28236,1212860
2015-05-11,28236,28295,28119,28236,1809470
2015-05-12,28236,28295,28119,28178,1090600
2015-05-13,28061,28178,27769,27769,994830
2015-05-14,28236,28236,27476,27535,1876510
2015-05-15,27593,27652,27242,27242,1599020
2015-05-18,27242,27535,27242,27476,1215900
2015-05-19,27476,27476,26892,26892,824900
2015-05-20,27126,27126,26833,27067,760760
2015-05-21,27067,27067,26950,26950,533100
2015-05-22,26950,27009,26833,26833,779690
2015-05-25,26833,27009,26716,27009,1149620
2015-05-26,27009,27067,26892,26892,1045380
