Open,High,Low,Close,Volume,Currency,O-C,H-L,SMA7,SMA14,SMA21
76263.0,76263.0,75165.0,76148.0,716016,VND,115.0,1098.0,74082.71428571429,73083.28571428571,73545.85714285714
76321.0,76321.0,74008.0,74008.0,611486,VND,2313.0,2313.0,74297.42857142857,72959.35714285714,73890.0
75107.0,75107.0,74008.0,74066.0,535433,VND,1041.0,1099.0,74553.42857142857,72839.57142857143,74016.61904761905
74008.0,74876.0,72736.0,72736.0,474583,VND,1272.0,2140.0,74536.85714285714,72686.71428571429,73843.14285714286
74587.0,75107.0,72910.0,74008.0,771490,VND,579.0,2197.0,74536.85714285714,72955.14285714286,73584.33333333333
73604.0,75223.0,73141.0,74413.0,1001515,VND,-809.0,2082.0,74437.71428571429,73459.0,73479.71428571429
74644.0,74702.0,74413.0,74644.0,588622,VND,0.0,289.0,74289.0,73938.07142857143,73454.90476190476
74644.0,76032.0,74529.0,75627.0,1286090,VND,-983.0,1503.0,74214.57142857143,74148.64285714286,73460.38095238095
75743.0,76321.0,75685.0,76206.0,346853,VND,-463.0,636.0,74528.57142857143,74413.0,73482.42857142857
75801.0,77825.0,75801.0,77535.0,770095,VND,-1734.0,2024.0,75024.14285714286,74788.78571428571,73567.76190476191
77478.0,77709.0,77362.0,77593.0,467477,VND,-115.0,347.0,75718.0,75127.42857142857,73697.14285714286
77651.0,77709.0,75743.0,77015.0,563018,VND,636.0,1966.0,76147.57142857143,75342.21428571429,74019.28571428571
76032.0,77362.0,75165.0,76148.0,381696,VND,-116.0,2197.0,76395.42857142857,75416.57142857143,74437.80952380953
75223.0,76206.0,74008.0,74587.0,443470,VND,636.0,2198.0,76387.28571428571,75338.14285714286,74754.47619047618
74587.0,76032.0,73951.0,75974.0,429408,VND,-1387.0,2081.0,76436.85714285714,75325.71428571429,74911.38095238095
75974.0,76206.0,74876.0,76090.0,527117,VND,-116.0,1330.0,76420.28571428571,75474.42857142857,75082.09523809524
76263.0,76263.0,75570.0,75974.0,367769,VND,289.0,693.0,76197.28571428571,75610.71428571429,75258.28571428571
75974.0,76206.0,74818.0,74818.0,384754,VND,1156.0,1388.0,75800.85714285714,75759.42857142857,75351.90476190476
74818.0,74818.0,73719.0,74008.0,356782,VND,810.0,1099.0,75371.28571428571,75759.42857142857,75351.90476190476
74008.0,74760.0,74008.0,74702.0,343274,VND,-694.0,752.0,75164.71428571429,75780.07142857143,75332.61904761905
75743.0,75743.0,74066.0,74066.0,384804,VND,1677.0,1677.0,75090.28571428571,75738.78571428571,75255.52380952382
74818.0,74818.0,73719.0,73835.0,379075,VND,983.0,1099.0,74784.71428571429,75610.78571428571,75145.38095238095
74413.0,74413.0,73777.0,73951.0,410290,VND,462.0,636.0,74479.14285714286,75449.71428571429,75142.66666666667
73951.0,75165.0,73951.0,75165.0,422789,VND,-1214.0,1214.0,74363.57142857143,75280.42857142857,75195.0
75280.0,75280.0,74298.0,75049.0,393842,VND,231.0,982.0,74396.57142857143,75098.71428571429,75305.14285714286
75107.0,75107.0,74587.0,74934.0,411550,VND,173.0,520.0,74528.85714285714,74950.07142857143,75349.23809523809
75167.0,75458.0,74584.0,75050.0,492223,VND,117.0,874.0,74578.57142857143,74871.64285714286,75379.57142857143
75050.0,76041.0,74817.0,76041.0,707414,VND,-991.0,1224.0,74860.71428571429,74975.5,75446.09523809524
75866.0,76215.0,75575.0,75982.0,715210,VND,-116.0,640.0,75167.42857142857,74976.07142857143,75463.0
75749.0,76215.0,75458.0,75749.0,553711,VND,0.0,757.0,75424.28571428571,74951.71428571429,75441.23809523809
75167.0,75691.0,74584.0,74875.0,575182,VND,292.0,1107.0,75382.85714285714,74873.21428571429,75314.57142857143
74875.0,74875.0,74001.0,74584.0,641407,VND,291.0,874.0,75316.42857142857,74856.5,75171.28571428571
74700.0,74992.0,73652.0,74584.0,607404,VND,116.0,1340.0,75266.42857142857,74897.64285714286,75055.52380952382
74584.0,74584.0,73652.0,74001.0,392969,VND,583.0,932.0,75116.57142857143,74847.57142857143,74953.28571428571
74001.0,74467.0,73652.0,74467.0,583968,VND,-466.0,815.0,74891.71428571429,74876.21428571429,74947.57142857143
73710.0,75167.0,73710.0,74817.0,401923,VND,-1107.0,1457.0,74725.28571428571,74946.35714285714,74892.47619047618
74001.0,74759.0,74001.0,74467.0,455011,VND,-466.0,758.0,74542.14285714286,74983.21428571429,74815.19047619047
74467.0,74467.0,73943.0,74001.0,461765,VND,466.0,524.0,74417.28571428571,74900.07142857143,74721.23809523809
74001.0,74060.0,73186.0,73419.0,489636,VND,582.0,874.0,74250.85714285714,74783.64285714286,74654.61904761905
73477.0,74001.0,73477.0,73885.0,509746,VND,-408.0,524.0,74151.0,74708.71428571429,74648.76190476191
73710.0,74467.0,73710.0,74467.0,391860,VND,-757.0,757.0,74217.57142857143,74667.07142857143,74637.57142857143
74467.0,74467.0,74001.0,74293.0,390146,VND,174.0,466.0,74192.71428571429,74542.21428571429,74648.38095238095
74234.0,74467.0,74118.0,74467.0,489586,VND,-233.0,349.0,74142.71428571429,74434.0,74678.47619047618
74467.0,75749.0,74351.0,75749.0,524664,VND,-1282.0,1398.0,74325.85714285714,74434.0,74764.09523809524
76332.0,77439.0,76099.0,76332.0,858362,VND,0.0,1340.0,74658.85714285714,74538.07142857143,74819.66666666667
76332.0,76332.0,75458.0,75749.0,525403,VND,583.0,874.0,74991.71428571429,74621.28571428571,74853.0
75749.0,76332.0,75633.0,75808.0,578810,VND,-59.0,699.0,75266.42857142857,74708.71428571429,74894.61904761905
75808.0,76041.0,74001.0,74293.0,717209,VND,1515.0,2040.0,75241.57142857143,74729.57142857143,74858.57142857143
75458.0,75575.0,74526.0,74526.0,600802,VND,932.0,1049.0,75274.85714285714,74733.78571428571,74786.42857142857
74992.0,74992.0,73710.0,74001.0,570310,VND,991.0,1282.0,75208.28571428571,74675.5,74692.09523809524
74409.0,74759.0,73593.0,74001.0,413078,VND,408.0,1166.0,74958.57142857143,74642.21428571429,74608.85714285714
74526.0,74526.0,73768.0,74351.0,473306,VND,175.0,758.0,74675.57142857143,74667.21428571429,74583.90476190476
74467.0,74526.0,74001.0,74001.0,731237,VND,466.0,525.0,74425.85714285714,74708.78571428571,74556.14285714286
74759.0,74759.0,73710.0,73710.0,476683,VND,1049.0,1049.0,74126.14285714286,74696.28571428571,74514.52380952382
75633.0,75633.0,73768.0,74001.0,526260,VND,1632.0,1865.0,74084.42857142857,74663.0,74514.52380952382
74584.0,74584.0,73710.0,73943.0,457817,VND,641.0,874.0,74001.14285714286,74638.0,74489.57142857143
73710.0,73826.0,73419.0,73710.0,637006,VND,0.0,407.0,73959.57142857143,74583.92857142857,74436.85714285714
73826.0,73826.0,72836.0,72894.0,798185,VND,932.0,990.0,73801.42857142857,74380.0,74361.95238095238
72894.0,73127.0,72137.0,72253.0,598634,VND,641.0,990.0,73501.71428571429,74088.64285714286,74278.71428571429
72428.0,73419.0,72370.0,73419.0,626556,VND,-991.0,1049.0,73418.57142857143,73922.21428571429,74278.71428571429
73652.0,74001.0,73186.0,73419.0,544135,VND,233.0,815.0,73377.0,73751.57142857143,74256.52380952382
73419.0,73419.0,72836.0,72836.0,654175,VND,583.0,583.0,73210.57142857143,73647.5,74178.85714285714
73360.0,73419.0,72603.0,72719.0,536172,VND,641.0,816.0,73035.71428571429,73518.42857142857,74103.90476190476
72719.0,73593.0,72253.0,73593.0,735991,VND,-874.0,1340.0,73019.0,73489.28571428571,74062.28571428571
73943.0,73943.0,72719.0,73593.0,589193,VND,350.0,1224.0,73118.85714285714,73460.14285714286,73959.61904761905
