Date,Open,High,Low,Close,Volume
2015-02-24,66667,67014,66319,66667,101218
2015-02-25,66667,67361,65972,66667,145282
2015-02-26,66667,68403,66667,68056,279547
2015-02-27,68056,68750,67708,68403,101736
2015-03-02,69097,71528,68750,71528,418162
2015-03-03,71528,71528,69444,69444,213797
2015-03-04,69444,70833,69097,70833,121752
2015-03-05,71528,71528,69444,70139,126072
2015-03-06,70139,70139,69097,69444,123970
2015-03-09,69444,69444,69097,69444,48586
2015-03-10,69444,69444,68750,69097,87768
2015-03-11,68403,70139,68403,69444,102154
2015-03-12,70139,70833,69097,69444,116539
2015-03-13,69444,70139,69097,69097,61474
2015-03-16,69444,70139,68750,69444,118872
2015-03-17,69444,70139,69097,69097,166075
2015-03-18,69097,72222,69097,70833,373522
2015-03-19,70139,71528,70139,70139,118152
2015-03-20,70139,72917,70139,72917,579010
2015-03-23,72222,72917,71528,72222,209779
2015-03-24,72222,72917,71528,71528,126691
2015-03-25,71528,72222,70139,70139,248487
2015-03-26,70139,71528,69444,71528,140717
2015-03-27,71528,72917,70833,71528,224035
2015-03-30,71528,72222,71528,71528,71338
2015-03-31,71528,72222,70833,72222,140256
2015-04-01,71528,72222,71528,71528,111470
2015-04-02,71528,72917,71528,72917,267725
2015-04-03,72222,72917,72222,72917,84715
2015-04-06,72917,73611,72222,73611,209664
2015-04-07,73611,74305,73611,74305,148335
2015-04-08,74305,75694,74305,75694,253095
2015-04-09,75694,76389,75000,75000,226627
2015-04-10,75694,75694,74305,75000,119578
2015-04-13,75000,75694,74305,74305,148853
2015-04-14,74305,75000,73611,75000,166983
2015-04-15,75000,75694,74305,75694,107237
2015-04-16,75694,75694,74305,75000,132120
2015-04-17,75000,75694,74305,74305,165010
2015-04-20,74305,75000,74305,74305,101304
2015-04-21,74305,75000,74305,75000,207778
2015-04-22,75000,75694,74305,75000,235987
2015-04-23,75000,75694,74305,75694,187690
2015-04-24,75000,75694,74305,75000,235613
2015-04-27,75000,75694,75000,75694,221386
2015-05-04,75694,75694,75000,75694,98309
2015-05-05,75000,75694,75000,75694,124690
2015-05-06,75000,75694,74305,75000,168221
2015-05-07,74305,75000,74305,74305,117749
2015-05-08,74305,75000,73611,74305,160863
2015-05-11,74305,74305,73611,74305,137434
2015-05-12,74305,74305,72917,74305,132149
2015-05-13,73611,74305,72917,74305,140875
2015-05-14,73611,74305,72917,72917,115718
2015-05-15,73611,73611,72222,72917,102758
2015-05-18,72917,73611,72222,73611,132711
2015-05-19,73611,73611,72222,72917,217987
2015-05-20,72222,73611,72222,73611,139853
2015-05-21,72917,73611,72222,72917,81446
2015-05-22,72917,73611,72222,72222,123207
2015-05-25,72222,73611,72222,73611,165744
2015-05-26,73611,74305,73611,73611,210341
2015-05-27,73611,74305,73611,73611,106690
2015-05-28,73611,75694,73611,75000,334714
2015-05-29,76389,77083,75000,76389,397268
2015-06-01,77083,77083,75694,76389,289167
2015-06-02,76389,76389,75000,75694,185170
2015-06-03,75694,75694,75000,75000,101693
2015-06-04,75000,75694,75000,75000,87523
2015-06-05,75694,75694,74305,75000,189317
2015-06-08,75000,75694,74305,75000,64829
2015-06-09,75000,75694,74305,75000,65506
2015-06-10,75000,75694,75000,75000,69581
2015-06-11,75694,75694,75000,75694,197007
2015-06-12,75694,75694,75000,75000,108245
2015-06-15,74305,75000,73611,73611,232373
2015-06-16,73611,73611,72222,73611,305309
2015-06-17,73611,74305,72917,73611,170309
2015-06-18,73611,75000,72917,73611,142690
2015-06-19,73611,74305,73611,73611,104170
2015-06-22,73611,74305,72917,73611,124143
2015-06-23,73611,74305,72917,72917,85982
2015-06-24,72917,73611,72917,72917,65131
2015-06-25,72917,73611,72222,72917,130968
2015-06-26,72917,73611,72222,72917,141610
2015-06-29,72222,72917,71528,72917,128031
2015-06-30,72222,72917,72222,72917,66557
2015-07-01,72222,74305,72222,74305,264370
2015-07-02,74305,74305,72917,73611,100987
2015-07-03,73611,74305,73611,74305,66974
2015-07-06,74305,74305,72917,73611,141653
2015-07-07,73611,73611,72917,73611,138528
2015-07-08,72917,73611,72917,73611,85867
2015-07-09,72917,73611,72917,73611,57600
2015-07-10,73611,73611,72917,72917,77890
2015-07-13,73611,74305,72917,73611,178992
2015-07-14,73611,73611,72917,73611,44366
2015-07-15,73611,74305,72917,73611,166407
2015-07-16,73611,75000,73611,74305,129111
2015-07-17,74305,75000,73611,74305,103752
2015-07-20,74305,75000,74305,75000,91224
2015-07-21,75000,75000,74305,74305,93254
2015-07-22,74305,75000,73611,74305,85622
2015-07-23,74305,75000,74305,75000,207907
2015-07-24,73611,74305,72917,73611,124762
2015-07-27,72917,73611,72917,73611,57456
2015-07-28,73611,73611,72222,72917,107914
2015-07-29,72917,73611,72222,72917,146333
2015-07-30,72917,73611,72917,73611,169301
2015-07-31,74305,75000,73611,74305,719453
2015-08-03,75000,77778,75000,77778,1060028
2015-08-04,77778,78472,76389,77083,361815
2015-08-05,76389,77083,75694,75694,352944
2015-08-06,75694,77083,75000,77083,371866
2015-08-07,76389,80555,76389,79167,1468600
2015-08-10,79167,79861,78472,79167,446861
2015-08-11,78472,79167,77778,78472,532829
2015-08-12,78472,79861,78472,79167,525960
2015-08-13,79167,79861,78472,79167,228701
2015-08-14,79167,79861,78472,79861,199858
2015-08-17,79861,81944,79861,80555,913796
2015-08-18,80555,81250,79861,81250,315346
2015-08-19,81250,81250,79167,79861,391306
2015-08-20,79167,80555,79167,79861,247637
2015-08-21,79861,80555,79167,79861,257415
2015-08-24,81250,81250,80555,81250,484805
2015-08-25,81250,81944,80555,81944,448719
2015-08-26,81944,82639,81250,81944,523296
2015-08-27,81944,81944,80555,81250,392991
2015-08-28,81250,81944,80555,81250,437948
2015-08-31,81250,81250,79861,80555,273571
2015-09-01,80555,81250,80555,81250,155319
2015-09-03,81250,82639,80555,82639,706393
2015-09-04,83333,86111,83333,84722,1643502
2015-09-07,85417,85417,84028,84722,584813
2015-09-08,84028,84722,83333,84722,468677
2015-09-09,84722,85417,84028,84028,492005
2015-09-10,84028,84722,83333,84028,396620
2015-09-11,84028,84028,82639,82639,317448
2015-09-14,82639,84028,81944,83333,580580
2015-09-15,83333,83333,81944,82639,388800
2015-09-16,82639,82639,81250,81250,723313
2015-09-17,79167,80417,79167,80000,520560
2015-09-18,80417,82083,80000,80833,590964
2015-09-21,81250,83333,80833,83333,731904
2015-09-22,85000,89167,85000,89167,1145148
2015-09-23,90000,90833,87500,87500,525756
2015-09-24,86667,87500,85000,85833,857904
2015-09-25,85833,87500,85000,87500,734784
2015-09-28,87500,89167,86667,87500,566088
2015-09-29,87500,87500,85000,85833,464508
2015-09-30,85833,86667,84167,85833,613116
2015-10-01,85000,86667,84167,86667,465024
2015-10-02,85833,86667,85000,85000,339000
2015-10-05,83333,84167,81667,84167,835404
2015-10-06,82917,82917,78333,78750,1416613
2015-10-07,76667,82083,76667,80000,959136
2015-10-08,80417,84167,80417,83333,580956
2015-10-09,84167,84167,82500,82917,305064
2015-10-12,83333,84167,82500,84167,541548
2015-10-13,84167,85833,82917,83333,355680
2015-10-14,83333,84167,82917,82917,355668
